artist,genre,country,url
CARTER CALVERT,Pop/Art Song/Folk,United States,http://www.jazzmusicarchives.com/artist/carter-calvert
RYAN CONGER,Nu Jazz / Fusion,United States,http://www.jazzmusicarchives.com/artist/ryan-conger
BOB CHADWICK,World Fusion,United States,http://www.jazzmusicarchives.com/artist/bob-chadwick
CUBAN MASTERS,Afro-Cuban Jazz,Cuba,http://www.jazzmusicarchives.com/artist/cuban-masters
VLADIMIR CHEKASIN,Avant-Garde Jazz / Progressive Big Band / Jazz Related Soundtracks / Third Stream / Jazz Related Improv/Composition / Fusion / Eclectic Fusion,Russia,http://www.jazzmusicarchives.com/artist/vladimir-chekasin
CHAIBABA,Jazz Related Rock,United States,http://www.jazzmusicarchives.com/artist/chaibaba
CHESTER GORILLA,Fusion,Italy,http://www.jazzmusicarchives.com/artist/chester-gorilla
SHEMEKIA COPELAND,RnB / Blues / Jazz Related Rock,United States,http://www.jazzmusicarchives.com/artist/shemekia-copeland
GLENN CRYTZER,Swing / Big Band,United States,http://www.jazzmusicarchives.com/artist/glenn-crytzer
ALEXIS CUADRADO,Eclectic Fusion / Latin Jazz,Spain,http://www.jazzmusicarchives.com/artist/alexis-cuadrado
LAURENT COQ,Post Bop / Post-Fusion Contemporary / Third Stream,France,http://www.jazzmusicarchives.com/artist/laurent-coq(france)
CORTEX (FRANCE),RnB,France,http://www.jazzmusicarchives.com/artist/cortex-france
JOEY CALDERAZZO,Post Bop / Post-Fusion Contemporary / Hard Bop,United States,http://www.jazzmusicarchives.com/artist/joey-calderazzo
HADLEY CALIMAN,Post Bop / Fusion,United States,http://www.jazzmusicarchives.com/artist/hadley-caliman
CONTUSION,Fusion,Argentina,http://www.jazzmusicarchives.com/artist/contusion
BILL CHALLIS,Big Band / Swing,United States,http://www.jazzmusicarchives.com/artist/bill-challis
GEORGE (PIANO) CALDWELL,Hard Bop,United States,http://www.jazzmusicarchives.com/artist/george-caldwell-piano
CYKLUS,Fusion,Germany,http://www.jazzmusicarchives.com/artist/cyklus
QUENTIN COLLINS,Hard Bop / Fusion / Post Bop,United Kingdom,http://www.jazzmusicarchives.com/artist/quentin-collins
JAMES COPUS,Fusion,United Kingdom,http://www.jazzmusicarchives.com/artist/james-copus
WILLIE COLÓN,Afro-Cuban Jazz / Jazz Related Soundtracks,United States,http://www.jazzmusicarchives.com/artist/willie-colon
GERALD CLAYTON,Post-Fusion Contemporary / Post Bop / 21st Century Modern,Netherlands,http://www.jazzmusicarchives.com/artist/gerald-clayton
BUTCH CAGE,Blues,United States,http://www.jazzmusicarchives.com/artist/butch-cage
COLMAN BROTHERS,Exotica / Jazz Related Electronica/Hip-Hop,United Kingdom,http://www.jazzmusicarchives.com/artist/colman-brothers
CATALYST,Fusion,United States,http://www.jazzmusicarchives.com/artist/catalyst
FRANCIS CANG,Jazz Related Rock,Philippines,http://www.jazzmusicarchives.com/artist/francis-cang
C.B.G. (CELANO/BAGGIANI GROUP),Eclectic Fusion,Multi-National,http://www.jazzmusicarchives.com/artist/cbg-celanobaggiani-group
COMBO 8,Fusion,Sweden,http://www.jazzmusicarchives.com/artist/combo-8
BILL CARLSEN,Big Band,United States,http://www.jazzmusicarchives.com/artist/bill-carlsen
COCHEMEA (COCHEMEA GASTELUM),World Fusion / Latin Rock/Soul,United States,http://www.jazzmusicarchives.com/artist/cochemea-cochemea-gastelum
CONTACT TRIO / CONTACT 4TETT,Fusion,Germany,http://www.jazzmusicarchives.com/artist/contact-trio-contact-4tett
JIM SR CULLUM,Dixieland,United States,http://www.jazzmusicarchives.com/artist/jim-cullum-sr
TOM CAWLEY,Post Bop / Fusion,United Kingdom,http://www.jazzmusicarchives.com/artist/tom-cawley
CURIOUS PARADISE,Post-Fusion Contemporary,United Kingdom,http://www.jazzmusicarchives.com/artist/curious-paradise
CODONA,World Fusion,Multi-National,http://www.jazzmusicarchives.com/artist/codona
GRAHAM STRATA COSTELLO'S,Nu Jazz / Fusion,United Kingdom,http://www.jazzmusicarchives.com/artist/graham-costellos-strata
THE COOL RUNNINGS ORCHESTRA,World Fusion,Multi-National,http://www.jazzmusicarchives.com/artist/the-cool-runnings-orchestra
GIANLUCA CHIARINI,Eclectic Fusion,Italy,http://www.jazzmusicarchives.com/artist/gianluca-chiarini
PETE / THE CANDOLI BROTHERS CANDOLI,Hard Bop / Exotica,United States,http://www.jazzmusicarchives.com/artist/pete-candoli-the-candoli-brothers
THÉO CECCALDI,Eclectic Fusion / Avant-Garde Jazz / 21st Century Modern / World Fusion / Jazz Related Improv/Composition,France,http://www.jazzmusicarchives.com/artist/theo-ceccaldi
