artist,genre,country,url
STEVE GADD,Fusion / World Fusion / Soul Jazz / Post-Fusion Contemporary,United States,http://www.jazzmusicarchives.com/artist/steve-gadd
BUDDY GUY,Blues,United States,http://www.jazzmusicarchives.com/artist/buddy-guy
GREPOL MAFIA,World Fusion,Multi-National,http://www.jazzmusicarchives.com/artist/grepol-mafia
GROOVE 55,RnB / Funk Jazz,Canada,http://www.jazzmusicarchives.com/artist/groove-55
HERB GELLER,Bop,United States,http://www.jazzmusicarchives.com/artist/herb-geller
GLOBAL NOIZE,Acid Jazz / Funk,United States,http://www.jazzmusicarchives.com/artist/global-noize
BOB GULLOTTI,Post Bop,United States,http://www.jazzmusicarchives.com/artist/bob-gullotti
ISZTVAN GRENCSO,Avant-Garde Jazz / Jazz Related Electronica/Hip-Hop,Hungary,http://www.jazzmusicarchives.com/artist/istvan-grencso
AVI GRANITE,21st Century Modern / Avant-Garde Jazz / Post-Fusion Contemporary,Canada,http://www.jazzmusicarchives.com/artist/avi-granite
MIRKO GUERRINI,Post-Fusion Contemporary,Italy,http://www.jazzmusicarchives.com/artist/mirko-guerrini
GARAJ MAHAL,Fusion,United States,http://www.jazzmusicarchives.com/artist/garaj-mahal
GOGO PENGUIN,Nu Jazz / Jazz Related Soundtracks / Jazz Related Electronica/Hip-Hop,United Kingdom,http://www.jazzmusicarchives.com/artist/gogo-penguin
CLEMENS GRASSMANN,Post Bop / Fusion,Germany,http://www.jazzmusicarchives.com/artist/clemens-grassmann
GONIMOBLAST,Jazz Related Improv/Composition,United Kingdom,http://www.jazzmusicarchives.com/artist/gonimoblast
PIERRE JEAN GAUCHER,Jazz Related Rock / Jazz Related Improv/Composition / Fusion / World Fusion / Third Stream / Pop/Art Song/Folk,France,http://www.jazzmusicarchives.com/artist/pierre-jean-gaucher
KATHLEEN GRACE,Pop/Art Song/Folk / Vocal Jazz,United States,http://www.jazzmusicarchives.com/artist/kathleen-grace
SEAN GIBBS,Post Bop / Big Band,United Kingdom,http://www.jazzmusicarchives.com/artist/sean-gibbs
OLE AMUND GJERSVIK,Post-Fusion Contemporary / Post Bop,Norway,http://www.jazzmusicarchives.com/artist/ole-amund-gjersvik
JANE GETTER,Fusion / Jazz Related Rock,United States,http://www.jazzmusicarchives.com/artist/jane-getter
RICHARD GALLIANO,World Fusion / Third Stream / Latin Jazz,France,http://www.jazzmusicarchives.com/artist/richard-galliano
RAY GOMEZ,Jazz Related Rock,Morocco,http://www.jazzmusicarchives.com/artist/ray-gomez
BEHN GILLECE,Post Bop / Hard Bop,United States,http://www.jazzmusicarchives.com/artist/behn-gillece
BABS GONZALES,Vocal Jazz,United States,http://www.jazzmusicarchives.com/artist/babs-gonzales
DANNY GOTTLIEB,Post-Fusion Contemporary / Post Bop / Pop/Art Song/Folk,United States,http://www.jazzmusicarchives.com/artist/danny-gottlieb
GALLIANO,Acid Jazz,United Kingdom,http://www.jazzmusicarchives.com/artist/galliano
"HARRY ""THE HIPSTER"" GIBSON",Blues,United States,http://www.jazzmusicarchives.com/artist/harry-the-hipster-gibson
JOEL GOODMAN,Jazz Related Soundtracks / Fusion,United States,http://www.jazzmusicarchives.com/artist/joel-goodman
GRINDED GRIN,Jazz Related Rock,Croatia,http://www.jazzmusicarchives.com/artist/grinded-grin
TIM GARLAND,Post Bop / Third Stream / Post-Fusion Contemporary / Fusion,United Kingdom,http://www.jazzmusicarchives.com/artist/tim-garland
MACIEJ GARBOWSKI,Avant-Garde Jazz,Poland,http://www.jazzmusicarchives.com/artist/maciej-garbowski
GROOVE BEYOND,RnB,United States,http://www.jazzmusicarchives.com/artist/groove-beyond
RUSSELL GUNN,Hard Bop / Jazz Related Electronica/Hip-Hop / Fusion / RnB / Post Bop / Jazz Related Rock / Funk Jazz / Eclectic Fusion,United States,http://www.jazzmusicarchives.com/artist/russell-gunn
JIMMY GREENE,Post Bop / Hard Bop / Eclectic Fusion,United States,http://www.jazzmusicarchives.com/artist/jimmy-greene
JERRY GARCIA,Pop/Art Song/Folk / Jazz Related Rock / RnB / Jazz Related Soundtracks / Hard Bop,United States,http://www.jazzmusicarchives.com/artist/jerry-garcia
PETER GREEN,Blues / RnB / Jazz Related Rock,United Kingdom,http://www.jazzmusicarchives.com/artist/peter-green
BOBBY (CLARINET) GORDON,Dixieland / Swing / Pop/Art Song/Folk,United States,http://www.jazzmusicarchives.com/artist/bobby-gordon-clarinet
GIANNI GAGLIARDI,World Fusion / Post Bop / 21st Century Modern,Spain,http://www.jazzmusicarchives.com/artist/gianni-gagliardi
MICHEL GODARD,Jazz Related Improv/Composition / Third Stream / Avant-Garde Jazz / Post-Fusion Contemporary,France,http://www.jazzmusicarchives.com/artist/michel-godard
JONAS GWANGWA,African Fusion,South Africa,http://www.jazzmusicarchives.com/artist/jonas-gwangwa
THE GREAT GUITARS,Bop,United States,http://www.jazzmusicarchives.com/artist/the-great-guitars
JUSTIN AND SYNTHESIS GRAY,World Fusion,Canada,http://www.jazzmusicarchives.com/artist/justin-gray-and-synthesis
GUTHRIE GOVAN,Jazz Related Rock,United Kingdom,http://www.jazzmusicarchives.com/artist/guthrie-govan
BUDDY GRECO,Vocal Jazz,United States,http://www.jazzmusicarchives.com/artist/buddy-greco
GRAHAM CENTRAL STATION,Funk,United States,http://www.jazzmusicarchives.com/artist/graham-central-station
CARLOS GARNETT,Hard Bop / Fusion / RnB,Panama,http://www.jazzmusicarchives.com/artist/carlos-garnett
URBIE GREEN,Swing / Big Band / Fusion / Bop,United States,http://www.jazzmusicarchives.com/artist/urbie-green
JANE GETZ,Hard Bop / Pop/Art Song/Folk,United States,http://www.jazzmusicarchives.com/artist/jane-getz
GRAND KALLÉ ET L'AFRICAN JAZZ,African Fusion,Congo,http://www.jazzmusicarchives.com/artist/grand-kalle-et-lafrican-jazz
MICHAEL GALLANT,Eclectic Fusion / Third Stream,United States,http://www.jazzmusicarchives.com/artist/michael-gallant
DEBORA GALAN,Pop/Art Song/Folk,Belgium,http://www.jazzmusicarchives.com/artist/debora-galan
HANS GLAWISCHNIG,Post Bop,Austria,http://www.jazzmusicarchives.com/artist/hans-glawischnig
GOVINDA GARI,Post Bop,Italy,http://www.jazzmusicarchives.com/artist/govinda-gari
RENAUD GARCIA-FONS,World Fusion / Latin Jazz / Jazz Related Soundtracks,France,http://www.jazzmusicarchives.com/artist/renaud-garcia-fons
JERRY GRANELLI,Jazz Related Improv/Composition / Eclectic Fusion / Avant-Garde Jazz / 21st Century Modern / Fusion / World Fusion / Soul Jazz / Jazz Related Electronica/Hip-Hop / Exotica,United States,http://www.jazzmusicarchives.com/artist/jerry-granelli
STEPHEN GAUCI,Avant-Garde Jazz / Post Bop,United States,http://www.jazzmusicarchives.com/artist/stephen-gauci
DICK GROVE,Big Band,United States,http://www.jazzmusicarchives.com/artist/dick-grove
GANELIN TRIO/SLAVA GANELIN,Avant-Garde Jazz / Third Stream / Jazz Related Soundtracks,Lithuania,http://www.jazzmusicarchives.com/artist/ganelin-trioslava-ganelin
PASQUALE GRASSO,Post Bop / Hard Bop / Bop,Italy,http://www.jazzmusicarchives.com/artist/pasquale-grasso
NICK GRINDER,21st Century Modern,United States,http://www.jazzmusicarchives.com/artist/nick-grinder
