artist,genre,country,url
DANNY JANKLOW,Post Bop,United States,http://www.jazzmusicarchives.com/artist/janklow-danny
MICHAEL GREGORY JACKSON,RnB / Avant-Garde Jazz / Fusion / Pop/Art Song/Folk / Eclectic Fusion,United States,http://www.jazzmusicarchives.com/artist/michael-gregory-jackson
JAN JOHANSSON,Hard Bop,Sweden,http://www.jazzmusicarchives.com/artist/jan-johansson
MAGGIE JONES,Blues,United States,http://www.jazzmusicarchives.com/artist/maggie-jones
JAZZCALATE,Latin Jazz,Mexico,http://www.jazzmusicarchives.com/artist/jazzcalate
DAVE JUAREZ,Post Bop,Spain,http://www.jazzmusicarchives.com/artist/dave-juarez
BOBBY JONES,Hard Bop,United States,http://www.jazzmusicarchives.com/artist/bobby-jones
JAZZCOMPUTER.ORG,Jazz Related Electronica/Hip-Hop,France,http://www.jazzmusicarchives.com/artist/jazzcomputerorg
BRIAN JACKSON,RnB,United States,http://www.jazzmusicarchives.com/artist/brian-jackson
NAT JANOFF,Fusion / Post-Fusion Contemporary,United States,http://www.jazzmusicarchives.com/artist/nat-janoff
BOBBY JASPAR,Cool Jazz,Belgium,http://www.jazzmusicarchives.com/artist/bobby-jaspar
DILL JONES,Stride Piano,United Kingdom,http://www.jazzmusicarchives.com/artist/dill-jones
JAMESZOO,Jazz Related Electronica/Hip-Hop / Nu Jazz,Netherlands,http://www.jazzmusicarchives.com/artist/jameszoo
HANK JONES,Bop / Swing / Hard Bop / African Fusion,United States,http://www.jazzmusicarchives.com/artist/hank-jones
LEROY JONES,Swing / Pop/Art Song/Folk / Original New Orleans Jazz,United States,http://www.jazzmusicarchives.com/artist/leroy-jones
JOHNSEN / SAHLANDER / MOEN,Post Bop / Fusion,Norway,http://www.jazzmusicarchives.com/artist/johnsen-sahlander-moen
JIMMY JOHNSON,Blues / RnB,United States,http://www.jazzmusicarchives.com/artist/jimmy-johnson
RONNY JORDAN,Acid Jazz,United Kingdom,http://www.jazzmusicarchives.com/artist/ronny-jordan
JAZZ SABBATH,Soul Jazz,United Kingdom,http://www.jazzmusicarchives.com/artist/jazz-sabbath
SEAN JONES,Hard Bop / Vocal Jazz / Post-Fusion Contemporary / Post Bop,United States,http://www.jazzmusicarchives.com/artist/sean-jones
TYRONE JACKSON,Hard Bop / Fusion,United States,http://www.jazzmusicarchives.com/artist/tyrone-jackson
SCOTT JEPPESEN,Post Bop,United States,http://www.jazzmusicarchives.com/artist/scott-jeppesen
CHRIS JOSS,Acid Jazz / RnB / Jazz Related Soundtracks / Funk Jazz,France,http://www.jazzmusicarchives.com/artist/chris-joss
BUDD JOHNSON,Hard Bop / RnB,United States,http://www.jazzmusicarchives.com/artist/budd-johnson
JONES. SAM,Hard Bop / Big Band,United States,http://www.jazzmusicarchives.com/artist/sam-jones
BOOKER T. JONES,RnB / Jazz Related Rock,United States,http://www.jazzmusicarchives.com/artist/booker-t-jones
DARKO JURKOVIĆ,Post Bop / Fusion,Croatia,http://www.jazzmusicarchives.com/artist/darko-jurkovic
RICHARD M JONES,Classic (1920s) Jazz,United States,http://www.jazzmusicarchives.com/artist/richard-m-jones
JIMMY JONES,Swing,United States,http://www.jazzmusicarchives.com/artist/jimmy-jones
KENT JORDAN,Pop/Art Song/Folk / Hard Bop,United States,http://www.jazzmusicarchives.com/artist/kent-jordan
JEZEBEL SEXTET,Funk Jazz,United Kingdom,http://www.jazzmusicarchives.com/artist/jezebel-sextet
HENRY JOHNSON,RnB / Hard Bop,United States,http://www.jazzmusicarchives.com/artist/henry-johnson
BONEY JAMES,Pop/Art Song/Folk / RnB,United States,http://www.jazzmusicarchives.com/artist/boney-james
JULIAN JULIEN,Nu Jazz / Jazz Related Improv/Composition / Exotica,France,http://www.jazzmusicarchives.com/artist/julian-julien
BILLY JONES,21st Century Modern,United States,http://www.jazzmusicarchives.com/artist/billy-jones
PAUL JONES,Post Bop / 21st Century Modern,United States,http://www.jazzmusicarchives.com/artist/paul-jones
JAZZ CONTEMPORARIES,Avant-Garde Jazz,United States,http://www.jazzmusicarchives.com/artist/jazz-contemporaries
JAZZ ON THE LATIN SIDE ALL-STARS,Latin Jazz,United States,http://www.jazzmusicarchives.com/artist/jazz-on-the-latin-side-all-stars
PUREUM JIN,Hard Bop,Korea,http://www.jazzmusicarchives.com/artist/pureum-jin
JAMIROQUAI,Acid Jazz / RnB / Jazz Related Electronica/Hip-Hop,United Kingdom,http://www.jazzmusicarchives.com/artist/jamiroquai
JOSEPH JARMAN,Avant-Garde Jazz,United States,http://www.jazzmusicarchives.com/artist/joseph-jarman
JIMMY JOY,Big Band,United States,http://www.jazzmusicarchives.com/artist/jimmy-joy
JØKLEBA,Nu Jazz,Norway,http://www.jazzmusicarchives.com/artist/jøkleba
GABRIEL JOHNSON,Hard Bop / Pop/Art Song/Folk / Jazz Related Electronica/Hip-Hop / Acid Jazz,United States,http://www.jazzmusicarchives.com/artist/gabriel-johnson
SCOTT JOPLIN,Ragtime / Jazz Related Soundtracks,United States,http://www.jazzmusicarchives.com/artist/scott-joplin
DEAN JAMES,RnB / Pop/Art Song/Folk,United States,http://www.jazzmusicarchives.com/artist/dean-james
ERIC JOHNSON,Jazz Related Rock / Pop/Art Song/Folk / Fusion,United States,http://www.jazzmusicarchives.com/artist/eric-johnson
JOE JACKSON,Pop/Art Song/Folk / Jazz Related Soundtracks / Third Stream / Post-Fusion Contemporary / Jump Blues,United Kingdom,http://www.jazzmusicarchives.com/artist/joe-jackson
JV'S BOOGALOO SQUAD,Soul Jazz,Canada,http://www.jazzmusicarchives.com/artist/jvs-boogaloo-squad
EUGENIE JONES,Vocal Jazz,United States,http://www.jazzmusicarchives.com/artist/eugenie-jones
ARTHUR JONES,Avant-Garde Jazz,United States,http://www.jazzmusicarchives.com/artist/arthur-jones
SAMUEL JEWELL,Fusion,United States,http://www.jazzmusicarchives.com/artist/samuel-jewell(united-states)
DAVID EARLE JOHNSON,Fusion,United States,http://www.jazzmusicarchives.com/artist/david-earle-johnson
