artist,genre,country,url
FRANKIE LAINE,Vocal Jazz / Jazz Related Soundtracks / Exotica / Blues,United States,http://www.jazzmusicarchives.com/artist/frankie-laine
KARL LATHAM,Fusion,United States,http://www.jazzmusicarchives.com/artist/karl-latham
CHARLES LLOYD,Post Bop / Fusion / Post-Fusion Contemporary / World Fusion / Avant-Garde Jazz / Jazz Related Rock / Jazz Related Improv/Composition / Third Stream / Pop/Art Song/Folk / Hard Bop / 21st Century Modern,United States,http://www.jazzmusicarchives.com/artist/charles-lloyd
LAVA,Pop/Art Song/Folk / Fusion,Norway,http://www.jazzmusicarchives.com/artist/lava
THE LEE BOYS,Jazz Related Gospel / RnB,United States,http://www.jazzmusicarchives.com/artist/the-lee-boys
NIA LYNN,Post-Fusion Contemporary,United Kingdom,http://www.jazzmusicarchives.com/artist/nia-lynn
JIHYE ORCHESTRA LEE,Progressive Big Band,Korea,http://www.jazzmusicarchives.com/artist/jihye-lee-orchestra
AVI LEBOVICH,Progressive Big Band,Israel,http://www.jazzmusicarchives.com/artist/avi-lebovich
LOVELY SOCIALITE,Eclectic Fusion,United States,http://www.jazzmusicarchives.com/artist/lovely-socialite
PAT LABARBERA,Hard Bop,United States,http://www.jazzmusicarchives.com/artist/pat-labarbera
ERIK TRIO LINDEBORG,Post Bop / Hard Bop,Sweden,http://www.jazzmusicarchives.com/artist/erik-lindeborg-trio
O'DONEL LEVY,Soul Jazz / RnB / Pop/Art Song/Folk,United States,http://www.jazzmusicarchives.com/artist/odonel-levy
HAROLD LAND,Hard Bop / Post Bop / Fusion,United States,http://www.jazzmusicarchives.com/artist/harold-land
"JAMES ""MINGO"" LEWIS",Fusion,United States,http://www.jazzmusicarchives.com/artist/james-mingo-lewis
HUBERT LAWS,Pop/Art Song/Folk / Post Bop / Third Stream / Jazz Related Soundtracks,United States,http://www.jazzmusicarchives.com/artist/hubert-laws
DONGFENG LIU,World Fusion,China,http://www.jazzmusicarchives.com/artist/dongfeng-liu
L'IMAGE,Fusion,United States,http://www.jazzmusicarchives.com/artist/limage
LOOSE TUBES,Progressive Big Band,United Kingdom,http://www.jazzmusicarchives.com/artist/loose-tubes
EDDIE LANG,Classic (1920s) Jazz,United States,http://www.jazzmusicarchives.com/artist/eddie-lang
ANNIE LIGHTLY,Vocal Jazz,United Kingdom,http://www.jazzmusicarchives.com/artist/annie-lightly
JEAN LAPOUGE,Third Stream,France,http://www.jazzmusicarchives.com/artist/jean-lapouge
MICHAEL LINGTON,Pop/Art Song/Folk / RnB,Denmark,http://www.jazzmusicarchives.com/artist/michael-lington
SEBASTIAN LEXER,Jazz Related Improv/Composition,United Kingdom,http://www.jazzmusicarchives.com/artist/sebastian-lexer
PETE LEE,Fusion,United Kingdom,http://www.jazzmusicarchives.com/artist/pete-lee
LOTUS (USA),RnB / Jazz Related Electronica/Hip-Hop / Jazz Related Rock / Nu Jazz / Pop/Art Song/Folk,United States,http://www.jazzmusicarchives.com/artist/lotus-usa
DUNCAN LAMONT,Jazz Related Soundtracks / Exotica / Latin Jazz / Big Band,United Kingdom,http://www.jazzmusicarchives.com/artist/duncan-lamont
GRANT LEVIN,Hard Bop / Post Bop,United States,http://www.jazzmusicarchives.com/artist/grant-levin
SHAWN LANE,Jazz Related Rock,United States,http://www.jazzmusicarchives.com/artist/shawn-lane
PEGGY (VOCALS) LEE,Vocal Jazz / Pop/Art Song/Folk / Jazz Related Soundtracks,United States,http://www.jazzmusicarchives.com/artist/peggy-lee-vocals
LIBERATION PROPHECY,Eclectic Fusion,United States,http://www.jazzmusicarchives.com/artist/liberation-prophecy
RENAUD GROUP LOUIS-SERVAIS,Fusion,France,http://www.jazzmusicarchives.com/artist/renaud-louis-servais-group
SCOTT LAFARO,Post Bop / Bop,United States,http://www.jazzmusicarchives.com/artist/scott-lafaro
SONNY LANDRETH,Blues,United States,http://www.jazzmusicarchives.com/artist/sonny-landreth
JEANETTE LINDSTROM,Vocal Jazz / Pop/Art Song/Folk / Jazz Related Electronica/Hip-Hop,Sweden,http://www.jazzmusicarchives.com/artist/jeanette-lindstrom
JIMMIE LUNCEFORD,Big Band,United States,http://www.jazzmusicarchives.com/artist/jimmie-lunceford
LILAC ORCHESTRA / СИРЕНЕВЫЙ ОРКЕСТР,Jazz Related Rock / Acid Jazz,Russia,http://www.jazzmusicarchives.com/artist/lilac-orchestra-сиреневый-оркестр
OTTMAR LIEBERT,Latin Jazz / Dub/Ska/Reggae,Germany,http://www.jazzmusicarchives.com/artist/ottmar-liebert
LOST PEACE,Fusion,Switzerland,http://www.jazzmusicarchives.com/artist/lost-peace
THIERRY LANG,Post-Fusion Contemporary / Third Stream,Switzerland,http://www.jazzmusicarchives.com/artist/thierry-lang
LEVERTON FOX,Jazz Related Improv/Composition,Multi-National,http://www.jazzmusicarchives.com/artist/leverton-fox
