artist,genre,country,url
RAYMOND MACDONALD,Avant-Garde Jazz / 21st Century Modern,United Kingdom,http://www.jazzmusicarchives.com/artist/raymond-macdonald
SØREN MØLLER,Post-Fusion Contemporary,Denmark,http://www.jazzmusicarchives.com/artist/søren-møller
MONOPHONICS,RnB / Funk Jazz,United States,http://www.jazzmusicarchives.com/artist/monophonics
WENDY MOTEN,Pop/Art Song/Folk / RnB / Vocal Jazz,United States,http://www.jazzmusicarchives.com/artist/wendy-moten
MAHOGANY FROG,Jazz Related Rock,Canada,http://www.jazzmusicarchives.com/artist/mahogany-frog
PHIL MINTON,Jazz Related Improv/Composition / Third Stream,United Kingdom,http://www.jazzmusicarchives.com/artist/phil-minton
MASS MEDIA,Jazz Related Rock,Italy,http://www.jazzmusicarchives.com/artist/mass-media
MICHAEL MUSILLAMI,Post Bop / Avant-Garde Jazz / 21st Century Modern,United States,http://www.jazzmusicarchives.com/artist/michael-musillami
MINGUS AMUNGUS,Progressive Big Band,United States,http://www.jazzmusicarchives.com/artist/mingus-amungus
KLEMENS MARKTL,Post Bop,Austria,http://www.jazzmusicarchives.com/artist/klemens-marktl
REBECCA MARTIN,Pop/Art Song/Folk / Vocal Jazz,United States,http://www.jazzmusicarchives.com/artist/rebecca-martin
MANHATTAN VIBES,World Fusion,United States,http://www.jazzmusicarchives.com/artist/manhattan-vibes
LITTLE BROTHER MONTGOMERY,Blues / Boogie Woogie Piano / Stride Piano / Jazz Related Gospel / Classic (1920s) Jazz,United States,http://www.jazzmusicarchives.com/artist/little-brother-montgomery
VINCE MENDOZA,Progressive Big Band / Post-Fusion Contemporary / Latin Jazz / Third Stream / World Fusion / Jazz Related Rock / Big Band,United States,http://www.jazzmusicarchives.com/artist/vince-mendoza
CHUCK MANGIONE,Pop/Art Song/Folk / Jazz Related Soundtracks,United States,http://www.jazzmusicarchives.com/artist/chuck-mangione
MANDRILL,Funk / World Fusion / Funk Jazz,United States,http://www.jazzmusicarchives.com/artist/mandrill
DANA MACLEOD,Pop/Art Song/Folk,Canada,http://www.jazzmusicarchives.com/artist/dana-macleod
CHARLES MCPHERSON,Bop / Hard Bop / Post Bop / Cool Jazz / Soul Jazz,United States,http://www.jazzmusicarchives.com/artist/charles-mcpherson
BOB MOSES,Avant-Garde Jazz / World Fusion / Progressive Big Band / Post Bop / Fusion,United States,http://www.jazzmusicarchives.com/artist/bob-moses
JEREMY MANASIA,Hard Bop / Soul Jazz,United States,http://www.jazzmusicarchives.com/artist/jeremy-manasia
