artist,genre,country,url
ODD JOHN HAWKINS,Jazz Related Rock,Puerto Rico,http://www.jazzmusicarchives.com/artist/odd-john-hawkins
ONENESS OF JUJU / PLUNKY & ONENESS / PLUNKY,RnB / Funk / Jazz Related Improv/Composition / Fusion / Funk Jazz,United States,http://www.jazzmusicarchives.com/artist/oneness-of-juju-plunky-and-oneness-plunky
ORCHESTRA EXOTICA,Exotica,Belgium,http://www.jazzmusicarchives.com/artist/orchestra-exotica
ORQUESTA AKOKÁN,Afro-Cuban Jazz,Cuba,http://www.jazzmusicarchives.com/artist/orquesta-akokan
ORIENTAL WIND,World Fusion,Multi-National,http://www.jazzmusicarchives.com/artist/oriental-wind
ORCHESTRE NATIONAL DE JAZZ,Progressive Big Band / Vocal Jazz / Third Stream / Post-Fusion Contemporary / Acid Jazz,France,http://www.jazzmusicarchives.com/artist/orchestre-national-de-jazz
KEITH OXMAN,Hard Bop,United States,http://www.jazzmusicarchives.com/artist/keith-oxman
OCTURN,Progressive Big Band / Post Bop,Belgium,http://www.jazzmusicarchives.com/artist/octurn
OTIS TRIO,Avant-Garde Jazz,Brazil,http://www.jazzmusicarchives.com/artist/otis-trio
OCHO,Afro-Cuban Jazz,United States,http://www.jazzmusicarchives.com/artist/ocho
TAKAAKI (TAKAAKI) OTOMO,Post Bop,Japan,http://www.jazzmusicarchives.com/artist/takaaki-otomo-takaaki
O'HIGGINS & LUFT,Post Bop / Hard Bop,United Kingdom,http://www.jazzmusicarchives.com/artist/ohiggins-and-luft
OCELOT (YUMA UESAKA - CAT TOREN - COLIN HINTON),21st Century Modern,Multi-National,http://www.jazzmusicarchives.com/artist/ocelot-yuma-uesaka-cat-toren-colin-hinton
OCTOBER,Jazz Related Rock,United States,http://www.jazzmusicarchives.com/artist/october
THE OTHER QUARTET,Avant-Garde Jazz,United States,http://www.jazzmusicarchives.com/artist/the-other-quartet
KIYOMI OTAKA,Fusion / RnB,Japan,http://www.jazzmusicarchives.com/artist/kiyomi-otaka
ORQUESTA LA MASACRE,Afro-Cuban Jazz,Puerto Rico,http://www.jazzmusicarchives.com/artist/orquesta-la-masacre
ORQUESTA CASINO DE LA PLAYA,Afro-Cuban Jazz,Cuba,http://www.jazzmusicarchives.com/artist/orquesta-casino-de-la-playa
KRESTEN OSGOOD,Eclectic Fusion / Soul Jazz / Avant-Garde Jazz / 21st Century Modern / Post Bop / Jazz Related Rock / Jazz Related Improv/Composition,Denmark,http://www.jazzmusicarchives.com/artist/kresten-osgood
KAREN OBERLIN,Vocal Jazz,United States,http://www.jazzmusicarchives.com/artist/karen-oberlin
THE ODDYSSEY QUARTET,Avant-Garde Jazz,United States,http://www.jazzmusicarchives.com/artist/the-oddyssey-quartet
OTHER BARRY,Fusion,United States,http://www.jazzmusicarchives.com/artist/other-barry
YOSHIO OTOMO,Hard Bop,Japan,http://www.jazzmusicarchives.com/artist/yoshio-otomo
ÁNGEL ONTALVA,Fusion / Jazz Related Rock / World Fusion / Post-Fusion Contemporary / Jazz Related Improv/Composition,Spain,http://www.jazzmusicarchives.com/artist/angel-ontalva(spain)
ARUAN AND MICHAEL JANISCH QUINTET ORTIZ,Avant-Garde Jazz,Multi-National,http://www.jazzmusicarchives.com/artist/the-aruan-ortiz-and-michael-janisch-quintet
MARY OSBORNE,Swing,United States,http://www.jazzmusicarchives.com/artist/mary-osborne
ORQUESTA DICUPÉ,Afro-Cuban Jazz,Puerto Rico,http://www.jazzmusicarchives.com/artist/orquesta-dicupe
OLA ONABULE,RnB / World Fusion,United Kingdom,http://www.jazzmusicarchives.com/artist/ola-onabule
ORCHESTRA BAOBAB,African Fusion,Senegal,http://www.jazzmusicarchives.com/artist/orchestra-baobab
THE ODD DOGS,Fusion,United States,http://www.jazzmusicarchives.com/artist/the-odd-dogs
OREGON,World Fusion / Post-Fusion Contemporary,United States,http://www.jazzmusicarchives.com/artist/oregon
OKTOPOSSE,Fusion,Germany,http://www.jazzmusicarchives.com/artist/oktoposse
TIGER OKOSHI,Pop/Art Song/Folk / Hard Bop / Fusion / Post-Fusion Contemporary,Japan,http://www.jazzmusicarchives.com/artist/tiger-okoshi
KING OLIVER,Original New Orleans Jazz,United States,http://www.jazzmusicarchives.com/artist/king-oliver
OCEAN FANFARE,Avant-Garde Jazz / 21st Century Modern,Multi-National,http://www.jazzmusicarchives.com/artist/ocean-fanfare
ISABELLE OLIVIER,Post-Fusion Contemporary / Nu Jazz,France,http://www.jazzmusicarchives.com/artist/isabelle-olivier
ORGANIK VIBE TRIO,Hard Bop,United States,http://www.jazzmusicarchives.com/artist/organik-vibe-trio
JACKIE ORSZACZKY,RnB / Jazz Related Improv/Composition / Fusion,Hungary,http://www.jazzmusicarchives.com/artist/jackie-orszaczky
OTIS GROVE,Funk Jazz,United States,http://www.jazzmusicarchives.com/artist/otis-grove
MICHAEL & KENNY WASHINGTON O'NEILL,Vocal Jazz,United States,http://www.jazzmusicarchives.com/artist/michael-oneill-and-kenny-washington
JUNIOR OLIVER,Acid Jazz,United Kingdom,http://www.jazzmusicarchives.com/artist/junior-oliver
OIAPOK,Nu Jazz,France,http://www.jazzmusicarchives.com/artist/oiapok
ONE FOR ALL,Hard Bop,United States,http://www.jazzmusicarchives.com/artist/one-for-all
ORANGE TRANE / ORANGE TRANE ACOUSTIC TRIO,Fusion / Eclectic Fusion,Poland,http://www.jazzmusicarchives.com/artist/orange-trane-orange-trane-acoustic-trio
ORIGAMI,Post Bop,Australia,http://www.jazzmusicarchives.com/artist/origami
OCARINAH,Jazz Related Rock,France,http://www.jazzmusicarchives.com/artist/ocarinah
ORIOXY,Post-Fusion Contemporary,Switzerland,http://www.jazzmusicarchives.com/artist/orioxy
ROBERTO OTTAVIANO,21st Century Modern / Third Stream / Fusion / World Fusion / Vocal Jazz / Progressive Big Band / Post Bop / Pop/Art Song/Folk,Italy,http://www.jazzmusicarchives.com/artist/roberto-ottaviano
BILL O'CONNELL,Latin Jazz / Hard Bop / Post Bop / Pop/Art Song/Folk,United States,http://www.jazzmusicarchives.com/artist/bill-oconnell
KASSA OVERALL,Jazz Related Electronica/Hip-Hop,United States,http://www.jazzmusicarchives.com/artist/kassa-overall(united-states)
CHUCK OWEN,Progressive Big Band / Third Stream / Big Band,United States,http://www.jazzmusicarchives.com/artist/chuck-owen
IRIS ORNIG,Post Bop,Germany,http://www.jazzmusicarchives.com/artist/iris-ornig
OFFLINES PROJECT (GUY MINTUS & YINON MUALLEM),World Fusion,Multi-National,http://www.jazzmusicarchives.com/artist/offlines-project-guy-mintus-and-yinon-muallem
ORGAN TRIO EAST,Post Bop,United States,http://www.jazzmusicarchives.com/artist/organ-trio-east
TRIJNTJE (AKA TRAINCHA) OOSTERHUIS,Vocal Jazz / Pop/Art Song/Folk,Netherlands,http://www.jazzmusicarchives.com/artist/trijntje-oosterhuis-aka-traincha
MARKKU OUNASKARI,World Fusion,Finland,http://www.jazzmusicarchives.com/artist/markku-ounaskari
OLD SCHOOL FUNKY FAMILY,World Fusion,France,http://www.jazzmusicarchives.com/artist/old-school-funky-family
THE ORIGINAL DIXIELAND JAZZ BAND,Dixieland,United States,http://www.jazzmusicarchives.com/artist/the-original-dixieland-jass-band
OCTØPODO,Fusion,Argentina,http://www.jazzmusicarchives.com/artist/octøpodo
ORIENTAL EXPRESS,Post-Fusion Contemporary,Korea,http://www.jazzmusicarchives.com/artist/oriental-express
OÙAT,21st Century Modern,Germany,http://www.jazzmusicarchives.com/artist/ouat
OUTWARD BOUND,Third Stream,Greece,http://www.jazzmusicarchives.com/artist/outward-bound
OMIT FIVE,21st Century Modern,Italy,http://www.jazzmusicarchives.com/artist/omit-five
EIVIND OPSVIK,Eclectic Fusion,Norway,http://www.jazzmusicarchives.com/artist/eivind-opsvik
OCEAN ORCHESTRA,Jazz Related Rock,Germany,http://www.jazzmusicarchives.com/artist/ocean-orchestra
DAN OLIVO,Vocal Jazz,United States,http://www.jazzmusicarchives.com/artist/dan-olivo
THE (OLIVER LAKE - GRAHAM HAYNES - JOE FONDA - BARRY ALTSCHUL) OGJB QUARTET,Avant-Garde Jazz / 21st Century Modern,United States,http://www.jazzmusicarchives.com/artist/the-ogjb-quartet-oliver-lake-graham-haynes-joe-fonda-barry-altschul
OK JAZZ BAND,African Fusion,Congo,http://www.jazzmusicarchives.com/artist/ok-jazz-band
ONE MAN,Post-Fusion Contemporary,United States,http://www.jazzmusicarchives.com/artist/one-man
PIOTR (PIANOHOOLIGAN) ORZECHOWSKI,Third Stream,Poland,http://www.jazzmusicarchives.com/artist/piotr-orzechowski-pianohooligan
MICHAEL O’NEILL,Vocal Jazz / Post Bop,United States,http://www.jazzmusicarchives.com/artist/michael-o’neill
RYOKO ONO,Avant-Garde Jazz / Eclectic Fusion,Japan,http://www.jazzmusicarchives.com/artist/ryoko-ono
ON THE RAW,Jazz Related Rock,Spain,http://www.jazzmusicarchives.com/artist/on-the-raw
ORBIT (STÉPHAN OLIVA - SÉBASTIEN BOISSEAU - TOM RAINEY),21st Century Modern,Multi-National,http://www.jazzmusicarchives.com/artist/orbit-stephan-oliva-sebastien-boisseau-tom-rainey
AUDREY OCHOA,Nu Jazz / Latin Jazz / Fusion,Canada,http://www.jazzmusicarchives.com/artist/audrey-ochoa
ORQUESTRA JAZZ DE MATOSINHOS,Progressive Big Band,Portugal,http://www.jazzmusicarchives.com/artist/orquestra-jazz-de-matosinhos
ANDY OSTWALD,Post Bop,United States,http://www.jazzmusicarchives.com/artist/andy-ostwald
CHIEF STEPHEN OSITA OSADEBE,African Fusion,Nigeria,http://www.jazzmusicarchives.com/artist/chief-stephen-osita-osadebe
OVARY LODGE,Avant-Garde Jazz,United Kingdom,http://www.jazzmusicarchives.com/artist/ovary-lodge
OXYMORE QUINTET,Fusion,Netherlands,http://www.jazzmusicarchives.com/artist/oxymore-quintet
OVERGROUND COLLECTIVE,Progressive Big Band,United Kingdom,http://www.jazzmusicarchives.com/artist/overground-collective
THE OZONO,Acid Jazz,Italy,http://www.jazzmusicarchives.com/artist/the-ozono
STÉPHAN OLIVA,21st Century Modern / Avant-Garde Jazz / Post Bop / Post-Fusion Contemporary / Jazz Related Soundtracks,France,http://www.jazzmusicarchives.com/artist/stephan-oliva
ITARU 沖至 OKI,Avant-Garde Jazz / Post Bop,Japan,http://www.jazzmusicarchives.com/artist/itaru-oki-沖至
ORGANIC NOISES,Eclectic Fusion,Poland,http://www.jazzmusicarchives.com/artist/organic-noises
"EDWARD ""KID"" ORY",Original New Orleans Jazz,United States,http://www.jazzmusicarchives.com/artist/edward-kid-ory
SHUGGIE OTIS,RnB,United States,http://www.jazzmusicarchives.com/artist/shuggie-otis
THE ORIGINAL MEMPHIS FIVE,Original New Orleans Jazz,United States,http://www.jazzmusicarchives.com/artist/the-original-memphis-five
ORCHESTRE LIPUA LIPUA,African Fusion,Congo,http://www.jazzmusicarchives.com/artist/orchestre-lipua-lipua
MICHAEL OIEN,Fusion,United States,http://www.jazzmusicarchives.com/artist/michael-oien
OPA,Latin Jazz,Uruguay,http://www.jazzmusicarchives.com/artist/opa
ARK OVRUTSKI,Post Bop / Latin Jazz / Hard Bop,Ukraine,http://www.jazzmusicarchives.com/artist/ark-ovrutski
JUAN ANDRÉS OSPINA,Progressive Big Band,Colombia,http://www.jazzmusicarchives.com/artist/juan-andres-ospina
JOHNNY O'NEAL,Hard Bop,United States,http://www.jazzmusicarchives.com/artist/johnny-oneal
OZONE QUARTET,Jazz Related Rock,United States,http://www.jazzmusicarchives.com/artist/ozone-quartet
VESS OSSMAN,Ragtime,United States,http://www.jazzmusicarchives.com/artist/vess-ossman
HAROLD OUSLEY,Soul Jazz / Hard Bop,United States,http://www.jazzmusicarchives.com/artist/harold-ousley
ORKEST DE VOLHARDING,Third Stream,Netherlands,http://www.jazzmusicarchives.com/artist/orkest-de-volharding
MEG OKURA,Post-Fusion Contemporary / Third Stream / Fusion,Japan,http://www.jazzmusicarchives.com/artist/meg-okura
OUR NATIVE DAUGHTERS,Pop/Art Song/Folk,United States,http://www.jazzmusicarchives.com/artist/our-native-daughters
OZO,Jazz Related Improv/Composition,Portugal,http://www.jazzmusicarchives.com/artist/ozo
OPERATION NORTHWOODS,Post-Fusion Contemporary,United States,http://www.jazzmusicarchives.com/artist/operation-northwoods
OUT OF THE BLUE,Hard Bop,United States,http://www.jazzmusicarchives.com/artist/out-of-the-blue
OLD AND NEW DREAMS,Post Bop,United States,http://www.jazzmusicarchives.com/artist/old-and-new-dreams
OPUS 5,Hard Bop / Fusion,Multi-National,http://www.jazzmusicarchives.com/artist/opus-5
ORQUESTRA NARVAEZ,Latin Jazz / Afro-Cuban Jazz,Puerto Rico,http://www.jazzmusicarchives.com/artist/orquestra-narvaez
MATT OTTO,Post Bop / 21st Century Modern / Post-Fusion Contemporary / Jazz Education,United States,http://www.jazzmusicarchives.com/artist/matt-otto
OCTAFISH,Jazz Related Rock,Germany,http://www.jazzmusicarchives.com/artist/octafish
CHARLES (1972) OWENS,Post Bop / Hard Bop / Soul Jazz / Post-Fusion Contemporary / Pop/Art Song/Folk / Fusion / Big Band,United States,http://www.jazzmusicarchives.com/artist/charles-owens-1972
ORIGINA1NERD,Fusion,Austria,http://www.jazzmusicarchives.com/artist/origina1nerd
ONE SHOT,Jazz Related Rock / Fusion,France,http://www.jazzmusicarchives.com/artist/one-shot
MAY OKITA,Vocal Jazz,Japan,http://www.jazzmusicarchives.com/artist/may-okita
OMINOX,Fusion,Sweden,http://www.jazzmusicarchives.com/artist/ominox
THE OSTARA PROJECT,Vocal Jazz,Canada,http://www.jazzmusicarchives.com/artist/the-ostara-project
ONE THOUSAND AND THIRTY-TWO K (1032K),Avant-Garde Jazz,United States,http://www.jazzmusicarchives.com/artist/1032k
OLAVI TRIO,Avant-Garde Jazz,Finland,http://www.jazzmusicarchives.com/artist/olavi-trio
JUNKO ONISHI,Post Bop / Fusion / Progressive Big Band / Latin Jazz,Japan,http://www.jazzmusicarchives.com/artist/junko-onishi
ULYSSES JR OWENS,Hard Bop / Vocal Jazz / Post Bop / Big Band,United States,http://www.jazzmusicarchives.com/artist/ulysses-owens-jr
OPEN SOURCE TRIO,Post-Fusion Contemporary,Multi-National,http://www.jazzmusicarchives.com/artist/open-source-trio
UWE OBERG,Avant-Garde Jazz / 21st Century Modern,Germany,http://www.jazzmusicarchives.com/artist/uwe-oberg
ROBERTO OCCHIPINTI,Latin Jazz / Pop/Art Song/Folk / Third Stream / Progressive Big Band / Post Bop,Canada,http://www.jazzmusicarchives.com/artist/roberto-occhipinti
THE OCULAR CONCERN,Eclectic Fusion,United States,http://www.jazzmusicarchives.com/artist/the-ocular-concern
AKIKO OSADA,Vocal Jazz,Japan,http://www.jazzmusicarchives.com/artist/akiko-osada
MAGNUS OSTRÖM,Nu Jazz,Sweden,http://www.jazzmusicarchives.com/artist/magnus-ostrom
PETE OXLEY,Post-Fusion Contemporary / Fusion / Post Bop / Latin Jazz,United Kingdom,http://www.jazzmusicarchives.com/artist/pete-oxley
LINDA MAY HAN OH,21st Century Modern / Nu Jazz / Eclectic Fusion,Malaysia,http://www.jazzmusicarchives.com/artist/linda-may-han-oh
ONE HUNDRED ONE (101),Jazz Related Rock,United States,http://www.jazzmusicarchives.com/artist/101
