artist,genre,country,url
PHONOGRAPH TEAM PROJECT,Nu Jazz,Multi-National,http://www.jazzmusicarchives.com/artist/phonograph-team-project
POWER OF THE HORNS,Avant-Garde Jazz,Poland,http://www.jazzmusicarchives.com/artist/power-of-the-horns
FABRIZIO POGGI,Blues / Jazz Related Gospel,Italy,http://www.jazzmusicarchives.com/artist/fabrizio-poggi
RÉMI PANOSSIAN,Post-Fusion Contemporary / Nu Jazz / Fusion,France,http://www.jazzmusicarchives.com/artist/remi-panossian
NICKI PARROTT,Vocal Jazz / Pop/Art Song/Folk / Post Bop / Latin Jazz / Cool Jazz,Australia,http://www.jazzmusicarchives.com/artist/nicki-parrott
ERIC PERSON,Post Bop / Soul Jazz / Progressive Big Band / Post-Fusion Contemporary / Fusion / Eclectic Fusion,United States,http://www.jazzmusicarchives.com/artist/eric-person
JEAN-MICHEL PILC,Post Bop / Post-Fusion Contemporary / 21st Century Modern,France,http://www.jazzmusicarchives.com/artist/jean-michel-pilc
JEFF PALMER,Hard Bop / Avant-Garde Jazz / Fusion,United States,http://www.jazzmusicarchives.com/artist/jeff-palmer
JOHNNY PATE,Hard Bop / Soul Jazz / Jazz Related Soundtracks,United States,http://www.jazzmusicarchives.com/artist/johnny-pate
DON PERIGNON,Afro-Cuban Jazz,Puerto Rico,http://www.jazzmusicarchives.com/artist/don-perignon
PIXINGUINHA,Latin Jazz,Brazil,http://www.jazzmusicarchives.com/artist/pixinguinha
PLEASURE,Funk,United States,http://www.jazzmusicarchives.com/artist/pleasure
PLOP,21st Century Modern / Avant-Garde Jazz,Finland,http://www.jazzmusicarchives.com/artist/plop
RICHARD PEÑA,Latin Jazz / Hard Bop / Fusion,Puerto Rico,http://www.jazzmusicarchives.com/artist/richard-pena
RALFI PAGÁN,Latin Rock/Soul,United States,http://www.jazzmusicarchives.com/artist/ralfi-pagan
DAINIUS PULAUSKAS,Fusion / World Fusion / Post-Fusion Contemporary / Post Bop / Avant-Garde Jazz / Pop/Art Song/Folk,Lithuania,http://www.jazzmusicarchives.com/artist/dainius-pulauskas
JOHN PATITUCCI,Fusion / Post-Fusion Contemporary / Vocal Jazz / Third Stream / Post Bop / Latin Jazz,United States,http://www.jazzmusicarchives.com/artist/john-patitucci
PUMPKIN,Fusion,Netherlands,http://www.jazzmusicarchives.com/artist/pumpkin
