artist,genre,country,url
HARRY RESER,Classic (1920s) Jazz,United States,http://www.jazzmusicarchives.com/artist/harry-reser
MOLLY RINGWALD,Vocal Jazz,United States,http://www.jazzmusicarchives.com/artist/molly-ringwald
MAREK RADULI,Fusion,Poland,http://www.jazzmusicarchives.com/artist/marek-raduli
IKEY ROBINSON,Blues,United States,http://www.jazzmusicarchives.com/artist/ikey-robinson
RANKY TANKY,World Fusion,United Kingdom,http://www.jazzmusicarchives.com/artist/ranky-tanky
RARA AVIS IN TERRIS,Jazz Related Rock,France,http://www.jazzmusicarchives.com/artist/rara-avis-in-terris
SONNY RED,Hard Bop,United States,http://www.jazzmusicarchives.com/artist/sonny-red
JAVIER RED,21st Century Modern,Mexico,http://www.jazzmusicarchives.com/artist/javier-red
CHUCK RAINEY,Funk Jazz,United States,http://www.jazzmusicarchives.com/artist/chuck-rainey
XAVI REIJA,Fusion / Eclectic Fusion,Spain,http://www.jazzmusicarchives.com/artist/xavi-reija
TOM RIDOUT,Progressive Big Band,United Kingdom,http://www.jazzmusicarchives.com/artist/tom-ridout
STACY ROWLES,Cool Jazz,United States,http://www.jazzmusicarchives.com/artist/stacy-rowles
RAMO,Latin Jazz,Brazil,http://www.jazzmusicarchives.com/artist/ramo
RAY RODRIGUEZ,Afro-Cuban Jazz,United States,http://www.jazzmusicarchives.com/artist/ray-rodriguez
MIKE RICHMOND,Post Bop / Hard Bop / World Fusion,United States,http://www.jazzmusicarchives.com/artist/mike-richmond
SCOTT ROUTENBERG,Nu Jazz / Post Bop / Latin Jazz / Fusion,United States,http://www.jazzmusicarchives.com/artist/scott-routenberg
SAUL RUBIN,Post Bop / Hard Bop,United States,http://www.jazzmusicarchives.com/artist/saul-rubin
MATHIAS RUPPNIG,Post Bop,Austria,http://www.jazzmusicarchives.com/artist/mathias-ruppnig
RASHANIM,Jazz Related Rock / World Fusion,United States,http://www.jazzmusicarchives.com/artist/rashanim
R+R = NOW,RnB / Nu Jazz,United States,http://www.jazzmusicarchives.com/artist/r-r-=-now
THE REAL GROUP,Vocal Jazz,Sweden,http://www.jazzmusicarchives.com/artist/the-real-group
RUF DER HEIMAT,Avant-Garde Jazz,Germany,http://www.jazzmusicarchives.com/artist/ruf-der-heimat
BARTON RAGE,Jazz Related Improv/Composition / Nu Jazz,Poland,http://www.jazzmusicarchives.com/artist/barton-rage
DAVID ROITSTEIN,Post Bop,United States,http://www.jazzmusicarchives.com/artist/david-roitstein
AKI RISSANEN,Post-Fusion Contemporary / Nu Jazz / Post Bop / 21st Century Modern,Finland,http://www.jazzmusicarchives.com/artist/aki-rissanen
REVERSE,21st Century Modern,Denmark,http://www.jazzmusicarchives.com/artist/reverse
RAPA NUI,Jazz Related Improv/Composition,Peru,http://www.jazzmusicarchives.com/artist/rapa-nui
RITA REYS,Vocal Jazz,Netherlands,http://www.jazzmusicarchives.com/artist/rita-reys
JUSSI REIJONEN,World Fusion,Finland,http://www.jazzmusicarchives.com/artist/jussi-reijonen
ABE RÁBADE,Post-Fusion Contemporary / Post Bop / World Fusion / Jazz Related Soundtracks / Jazz Related Improv/Composition / Fusion,Spain,http://www.jazzmusicarchives.com/artist/abe-rabade
JESSICA RADCLIFFE,Vocal Jazz,United Kingdom,http://www.jazzmusicarchives.com/artist/jessica-radcliffe
REVOLUTIONARY SNAKE ENSEMBLE,Eclectic Fusion,United States,http://www.jazzmusicarchives.com/artist/revolutionary-snake-ensemble
TIM RIES,Post Bop / Soul Jazz / RnB,United States,http://www.jazzmusicarchives.com/artist/tim-ries
BRENDAN REILLY,RnB,United States,http://www.jazzmusicarchives.com/artist/brendan-reilly
ALDO ROMANO,Post Bop / Avant-Garde Jazz / Progressive Big Band / Post-Fusion Contemporary / Jazz Related Electronica/Hip-Hop / Eclectic Fusion,Italy,http://www.jazzmusicarchives.com/artist/aldo-romano
NADAV REMEZ,Post-Fusion Contemporary,Israel,http://www.jazzmusicarchives.com/artist/nadav-remez
SCOTT ROBINSON,Swing / Third Stream / Hard Bop / Avant-Garde Jazz,United States,http://www.jazzmusicarchives.com/artist/scott-robinson
RUBY RUSHTON,Fusion / Eclectic Fusion,United Kingdom,http://www.jazzmusicarchives.com/artist/ruby-rushton
JOSEPH (JOE ROBICHAUX) ROBECHAUX,Classic (1920s) Jazz,United States,http://www.jazzmusicarchives.com/artist/joseph-robechaux-joe-robichaux
BADAL ROY,World Fusion,India,http://www.jazzmusicarchives.com/artist/badal-roy
OTIS REDDING,RnB,United States,http://www.jazzmusicarchives.com/artist/otis-redding
RHYTHMIC UNION,Post-Fusion Contemporary,United States,http://www.jazzmusicarchives.com/artist/rhythmic-union
BRENDAN ROTHWELL,RnB,Canada,http://www.jazzmusicarchives.com/artist/brendan-rothwell
HUGO RARO,21st Century Modern,Portugal,http://www.jazzmusicarchives.com/artist/hugo-raro
ROBOHANDS,Nu Jazz,United Kingdom,http://www.jazzmusicarchives.com/artist/robohands
WILLIE (TRUMPET) RODRÍGUEZ,Afro-Cuban Jazz,Puerto Rico,http://www.jazzmusicarchives.com/artist/willie-rodriguez-trumpet(united-states)
RAD.,Funk,United States,http://www.jazzmusicarchives.com/artist/rad
RED OAK DUO,Post-Fusion Contemporary,United States,http://www.jazzmusicarchives.com/artist/red-oak-duo
RARE BLEND,Fusion,United States,http://www.jazzmusicarchives.com/artist/rare-blend
JIMMY REED,Blues,United States,http://www.jazzmusicarchives.com/artist/jimmy-reed
VERNON REID,Eclectic Fusion,United Kingdom,http://www.jazzmusicarchives.com/artist/vernon-reid
OLI ROCKBERGER,Pop/Art Song/Folk,United Kingdom,http://www.jazzmusicarchives.com/artist/oli-rockberger
HANNES RIEPLER,Hard Bop,Austria,http://www.jazzmusicarchives.com/artist/hannes-riepler
ROBERTO ROENA,Afro-Cuban Jazz,Puerto Rico,http://www.jazzmusicarchives.com/artist/roberto-roena
DENIA RIDLEY,Vocal Jazz,Panama,http://www.jazzmusicarchives.com/artist/denia-ridley
MARA ROSENBLOOM,Post-Fusion Contemporary / Avant-Garde Jazz / 21st Century Modern,United States,http://www.jazzmusicarchives.com/artist/mara-rosenbloom
PETER ROM,Jazz Related Improv/Composition / Eclectic Fusion / Third Stream,Austria,http://www.jazzmusicarchives.com/artist/peter-rom
EMILY REMLER,Hard Bop,United States,http://www.jazzmusicarchives.com/artist/emily-remler
MONIKA RYAN,Vocal Jazz / Pop/Art Song/Folk,United States,http://www.jazzmusicarchives.com/artist/monika-ryan
MAVIS RIVERS,Vocal Jazz,Samoa,http://www.jazzmusicarchives.com/artist/mavis-rivers
RENGA ENSEMBLE,Avant-Garde Jazz,United States,http://www.jazzmusicarchives.com/artist/renga-ensemble
TOM RIZZO,Big Band,United States,http://www.jazzmusicarchives.com/artist/tom-rizzo
ADRIAN ROLLINI,Classic (1920s) Jazz,United States,http://www.jazzmusicarchives.com/artist/adrian-rollini
LIN ROUNTREE,RnB / Funk Jazz,United States,http://www.jazzmusicarchives.com/artist/lin-rountree
REV. SEKOU,RnB,United States,http://www.jazzmusicarchives.com/artist/rev-sekou
MARC RUSSO,RnB / Pop/Art Song/Folk,United States,http://www.jazzmusicarchives.com/artist/marc-russo
KEVIN REVEYRAND,World Fusion / Fusion,France,http://www.jazzmusicarchives.com/artist/kevin-reveyrand
SAM REIDER,World Fusion / Third Stream,United States,http://www.jazzmusicarchives.com/artist/sam-reider
DUKE ROBILLARD,Blues / RnB / Soul Jazz,United States,http://www.jazzmusicarchives.com/artist/duke-robillard
JOCHEN RÜCKERT (RUECKERT),Post Bop,Germany,http://www.jazzmusicarchives.com/artist/jochen-ruckert-rueckert
RADIO BANSKA,World Fusion,United Kingdom,http://www.jazzmusicarchives.com/artist/radio-banska
ELIJAH ROCK,Vocal Jazz / RnB,United States,http://www.jazzmusicarchives.com/artist/elijah-rock
CHARLES RUGGIERO,Post Bop / Exotica,United States,http://www.jazzmusicarchives.com/artist/charles-ruggiero
DELLA REESE,Vocal Jazz / Blues,United States,http://www.jazzmusicarchives.com/artist/della-reese
LOU RAWLS,Vocal Jazz / Blues / Soul Jazz / RnB,United States,http://www.jazzmusicarchives.com/artist/lou-rawls
ARNAN RAZ,Post-Fusion Contemporary / Post Bop,Israel,http://www.jazzmusicarchives.com/artist/arnan-raz
HARISH RAGHAVAN,21st Century Modern,United States,http://www.jazzmusicarchives.com/artist/harish-raghavan
REFUGEE TRIO,Third Stream,United States,http://www.jazzmusicarchives.com/artist/refugee-trio
ERNST REIJSEGER,Avant-Garde Jazz / Jazz Related Soundtracks / Third Stream / World Fusion / Post-Fusion Contemporary,Netherlands,http://www.jazzmusicarchives.com/artist/ernst-reijseger
RHYTHM BOYS,Vocal Jazz,United States,http://www.jazzmusicarchives.com/artist/rhythm-boys
ORIOL ROCA,Jazz Related Improv/Composition / 21st Century Modern,Spain,http://www.jazzmusicarchives.com/artist/oriol-roca
