artist,genre,country,url
BUDDY TERRY,Soul Jazz / Jazz Related Gospel / Fusion / Funk Jazz,United States,http://www.jazzmusicarchives.com/artist/buddy-terry
PHILIPP TERIETE,Third Stream / Fusion,Germany,http://www.jazzmusicarchives.com/artist/philipp-teriete
JAMEY TATE,Post-Fusion Contemporary,United States,http://www.jazzmusicarchives.com/artist/jamey-tate
EDDIE THOMPSON,Hard Bop,United Kingdom,http://www.jazzmusicarchives.com/artist/eddie-thompson
TRIBAL TECH,Fusion,United States,http://www.jazzmusicarchives.com/artist/tribal-tech
SHANE THERIOT,RnB,United States,http://www.jazzmusicarchives.com/artist/shane-theriot
THE TRONOSONIC EXPERIENCE,Jazz Related Rock,Norway,http://www.jazzmusicarchives.com/artist/the-tronosonic-experience
THREE FALL,Eclectic Fusion / World Fusion,Germany,http://www.jazzmusicarchives.com/artist/three-fall
THE FAR EAST SIDE BAND,Jazz Related Improv/Composition,United States,http://www.jazzmusicarchives.com/artist/the-far-east-side-band
TAKE TAKE,Post-Fusion Contemporary,Japan,http://www.jazzmusicarchives.com/artist/take-take
"SAM ""THE MAN"" TAYLOR",RnB / Exotica / Blues / Hard Bop,United States,http://www.jazzmusicarchives.com/artist/sam-the-man-taylor
TRIO NOW!,Avant-Garde Jazz,Austria,http://www.jazzmusicarchives.com/artist/trio-now
BARBARA THOMPSON,Fusion / Third Stream / RnB / Post-Fusion Contemporary / Big Band,United Kingdom,http://www.jazzmusicarchives.com/artist/barbara-thompson
GRADY TATE,Hard Bop,United States,http://www.jazzmusicarchives.com/artist/grady-tate
TRIO HLP (HUMAIR LOUISS PONTY),Hard Bop,France,http://www.jazzmusicarchives.com/artist/trio-hlp-humair-louiss-ponty
TIPOGRAPHICA,Eclectic Fusion,Japan,http://www.jazzmusicarchives.com/artist/tipographica
RADHA ENSEMBLE UNK THOMAS,Vocal Jazz,India,http://www.jazzmusicarchives.com/artist/the-radha-thomas-ensemble-unk
ARES TAVOLAZZI,Post-Fusion Contemporary,Italy,http://www.jazzmusicarchives.com/artist/ares-tavolazzi
JAY TAUSIG,Jazz Related Rock / Jazz Related Improv/Composition,United States,http://www.jazzmusicarchives.com/artist/jay-tausig
MAKOTO TERASHITA,Hard Bop,Japan,http://www.jazzmusicarchives.com/artist/makoto-terashita
DYLAN TAYLOR,Fusion / Vocal Jazz / Jazz Related Soundtracks,United States,http://www.jazzmusicarchives.com/artist/dylan-taylor
TRIO HLK,21st Century Modern,United Kingdom,http://www.jazzmusicarchives.com/artist/trio-hlk
TAMBOR,Nu Jazz,United States,http://www.jazzmusicarchives.com/artist/tambor
TRIBE,Jazz Related Electronica/Hip-Hop / African Fusion / Fusion,United States,http://www.jazzmusicarchives.com/artist/tribe
ROSIE TURTON,Nu Jazz / Fusion,United Kingdom,http://www.jazzmusicarchives.com/artist/rosie-turton
TGB,Jazz Related Rock,Portugal,http://www.jazzmusicarchives.com/artist/tgb
SAMY THIÉBAULT,Post Bop / Third Stream / Latin Jazz / Fusion,Ivory Coast,http://www.jazzmusicarchives.com/artist/samy-thiebault
TRICOTISM (CRAIG MILVERTON/ SANDY SUCHODOLSKI/ NIGEL PRICE),Hard Bop,United Kingdom,http://www.jazzmusicarchives.com/artist/tricotism-craig-milverton-sandy-suchodolski-nigel-price
TANI TABBAL,21st Century Modern / Jazz Related Improv/Composition / Avant-Garde Jazz,United States,http://www.jazzmusicarchives.com/artist/tani-tabbal
FRANCIEN VAN TUINEN,Vocal Jazz,Netherlands,http://www.jazzmusicarchives.com/artist/francien-van-tuinen
TRIGON,World Fusion,Moldova,http://www.jazzmusicarchives.com/artist/trigon
TRIO DA PAZ,Latin Jazz,United States,http://www.jazzmusicarchives.com/artist/trio-da-paz
THEM,RnB,United Kingdom,http://www.jazzmusicarchives.com/artist/them
TIME SHIFT ACCIDENT,Fusion,Germany,http://www.jazzmusicarchives.com/artist/time-shift-accident
STEVE TRESELER,Eclectic Fusion,United States,http://www.jazzmusicarchives.com/artist/steve-treseler
STAN TRACEY,Post Bop / Hard Bop / Avant-Garde Jazz / Big Band / Progressive Big Band / Latin Jazz,United Kingdom,http://www.jazzmusicarchives.com/artist/stan-tracey
TONY TIXIER,Post Bop / Jazz Related Electronica/Hip-Hop / Post-Fusion Contemporary / Fusion / 21st Century Modern,France,http://www.jazzmusicarchives.com/artist/tony-tixier
CREED TAYLOR,Exotica,United States,http://www.jazzmusicarchives.com/artist/creed-taylor
RUFUS THOMAS,RnB / Blues,United States,http://www.jazzmusicarchives.com/artist/rufus-thomas
CRAIG TABORN,Avant-Garde Jazz / 21st Century Modern / Nu Jazz / World Fusion / Jazz Related Electronica/Hip-Hop,United States,http://www.jazzmusicarchives.com/artist/craig-taborn
GREGORY TARDY,Hard Bop / Post Bop / Jazz Related Gospel,United States,http://www.jazzmusicarchives.com/artist/gregory-tardy
TALI TOKÉ,World Fusion,Belgium,http://www.jazzmusicarchives.com/artist/tali-toke
MOTOTERU 高木元輝 TAKAGI,Avant-Garde Jazz / Jazz Related Improv/Composition,Japan,http://www.jazzmusicarchives.com/artist/mototeru-takagi-高木元輝
FRANÇOIS TUSQUES,Avant-Garde Jazz / Jazz Related Soundtracks / Jazz Related Improv/Composition / 21st Century Modern,France,http://www.jazzmusicarchives.com/artist/francois-tusques
THIRD REEL,Avant-Garde Jazz,Multi-National,http://www.jazzmusicarchives.com/artist/third-reel
NATSUKI TAMURA,Avant-Garde Jazz / Jazz Related Improv/Composition / Eclectic Fusion,Japan,http://www.jazzmusicarchives.com/artist/natsuki-tamura
JOE (FLUTE) THOMAS,RnB / Soul Jazz / Funk Jazz,United States,http://www.jazzmusicarchives.com/artist/joe-thomas-flute
TRIO HEINZ HERBERT,Jazz Related Improv/Composition,Switzerland,http://www.jazzmusicarchives.com/artist/trio-heinz-herbert
BRUNO TOMMASO,Third Stream / Avant-Garde Jazz / Progressive Big Band / Jazz Related Soundtracks / Fusion,Italy,http://www.jazzmusicarchives.com/artist/bruno-tommaso
TOXYDOLL,Jazz Related Improv/Composition,Germany,http://www.jazzmusicarchives.com/artist/toxydoll
