artist,genre,country,url
VARIABLE GEOMETRY ORCHESTRA,Jazz Related Improv/Composition,Portugal,http://www.jazzmusicarchives.com/artist/variable-geometry-orchestra
GLAUCO VENIER,Post-Fusion Contemporary / Third Stream / Progressive Big Band / Post Bop,Italy,http://www.jazzmusicarchives.com/artist/glauco-venier
VELS TRIO,Nu Jazz,United Kingdom,http://www.jazzmusicarchives.com/artist/vels-trio
EDWARD VESALA,Avant-Garde Jazz / Progressive Big Band,Finland,http://www.jazzmusicarchives.com/artist/edward-vesala(finland)
JASPER VAN 'T HOF,Post Bop / Jazz Related Improv/Composition / Fusion / World Fusion / Avant-Garde Jazz,Netherlands,http://www.jazzmusicarchives.com/artist/jasper-van-t-hof
MARISKA & SHOCKING JAZZ QUINTET VERES,Vocal Jazz,Netherlands,http://www.jazzmusicarchives.com/artist/mariska-veres-and-shocking-jazz-quintet
VINZ VONLANTHEN,Jazz Related Improv/Composition / Eclectic Fusion,Switzerland,http://www.jazzmusicarchives.com/artist/vinz-vonlanthen
GERALD VEASLEY,Post-Fusion Contemporary / RnB / Fusion / Pop/Art Song/Folk,United States,http://www.jazzmusicarchives.com/artist/gerald-veasley
MARCOS VARELA,Post Bop,United States,http://www.jazzmusicarchives.com/artist/marcos-varela
PAPO VÁZQUEZ,Latin Jazz / Third Stream,United States,http://www.jazzmusicarchives.com/artist/papo-vazquez
VECTOR FAMILIES,Avant-Garde Jazz,United States,http://www.jazzmusicarchives.com/artist/vector-families
MIROSLAV VITOUS,Fusion / Post-Fusion Contemporary / Post Bop,Czech Republic,http://www.jazzmusicarchives.com/artist/miroslav-vitous
STEVE VAI,Jazz Related Rock / Third Stream,United States,http://www.jazzmusicarchives.com/artist/steve-vai
MARIKE VAN DIJK,Third Stream / Progressive Big Band / Post-Fusion Contemporary / Pop/Art Song/Folk,Netherlands,http://www.jazzmusicarchives.com/artist/marike-van-dijk
CHUCHITO JR. VALDÉS,Afro-Cuban Jazz,Cuba,http://www.jazzmusicarchives.com/artist/chuchito-valdes-jr
JEAN-PHILIPPE VIRET,21st Century Modern / Third Stream / Post Bop / Fusion,France,http://www.jazzmusicarchives.com/artist/jean-philippe-viret
MANUEL VALERA,Post Bop / Afro-Cuban Jazz / Latin Jazz / Fusion / 21st Century Modern,Cuba,http://www.jazzmusicarchives.com/artist/manuel-valera
SARAH VAUGHAN,Vocal Jazz,United States,http://www.jazzmusicarchives.com/artist/sarah-vaughan
DAVID VIRELLES,Afro-Cuban Jazz / World Fusion / Third Stream / Latin Jazz / 21st Century Modern,Cuba,http://www.jazzmusicarchives.com/artist/david-virelles
PETRAS VYŠNIAUSKAS,Avant-Garde Jazz / Jazz Related Improv/Composition / Pop/Art Song/Folk / Latin Jazz,Lithuania,http://www.jazzmusicarchives.com/artist/petras-vysniauskas
GEORGE VAN EPS,Swing,United States,http://www.jazzmusicarchives.com/artist/george-van-eps
AUBIN VANNS,Post Bop,United Kingdom,http://www.jazzmusicarchives.com/artist/aubin-vanns
KĘSTUTIS VAIGINIS,Post Bop,Lithuania,http://www.jazzmusicarchives.com/artist/kestutis-vaiginis
FRANCK VAILLANT,Jazz Related Improv/Composition,France,http://www.jazzmusicarchives.com/artist/franck-vaillant
VILLAGE OF THE SUN,Fusion,United Kingdom,http://www.jazzmusicarchives.com/artist/village-of-the-sun
JACK VAN POLL,Hard Bop / Vocal Jazz,Netherlands,http://www.jazzmusicarchives.com/artist/jack-van-poll
FRANK VIGNOLA,Swing / Pop/Art Song/Folk / Hard Bop,United States,http://www.jazzmusicarchives.com/artist/frank-vignola
JERRY VIVINO,Hard Bop,United States,http://www.jazzmusicarchives.com/artist/jerry-vivino
VERTICAL SQUIRRELS,Nu Jazz / Eclectic Fusion,Canada,http://www.jazzmusicarchives.com/artist/vertical-squirrels
THE VANGUARD JAZZ ORCHESTRA,Big Band / Progressive Big Band,United States,http://www.jazzmusicarchives.com/artist/the-vanguard-jazz-orchestra
SIMON VINCENT,Jazz Related Improv/Composition / Post Bop / Hard Bop,United Kingdom,http://www.jazzmusicarchives.com/artist/simon-vincent
VP (VYACHESLAV POTAPOV),Jazz Related Rock,Kazakhstan,http://www.jazzmusicarchives.com/artist/vp-vyacheslav-potapov
VARIS,Jazz Related Rock,Germany,http://www.jazzmusicarchives.com/artist/varis
MARLENE VERPLANCK,Vocal Jazz,United States,http://www.jazzmusicarchives.com/artist/marlene-ver-planck
EMIL VIKLICKÝ,Post Bop / Hard Bop / World Fusion / Third Stream / Post-Fusion Contemporary / Fusion / Jazz Related Soundtracks / Acid Jazz,Czech Republic,http://www.jazzmusicarchives.com/artist/emil-viklicky
MELVIN VAN PEEBLES,RnB / Jazz Related Soundtracks,United States,http://www.jazzmusicarchives.com/artist/melvin-van-peebles
JIMMIE VAUGHAN,Blues,United States,http://www.jazzmusicarchives.com/artist/jimmie-vaughan
NICK VAYENAS,Post Bop / Fusion / Vocal Jazz,United States,http://www.jazzmusicarchives.com/artist/nick-vayenas
VANESSA,Fusion,Norway,http://www.jazzmusicarchives.com/artist/vanessa
VOLCANO RADAR,Jazz Related Improv/Composition / Avant-Garde Jazz,United States,http://www.jazzmusicarchives.com/artist/volcano-radar
KADI VIJA,Vocal Jazz,Estonia,http://www.jazzmusicarchives.com/artist/kadi-vija
RAMÓN VALLE,Post Bop / Post-Fusion Contemporary / Latin Jazz,Cuba,http://www.jazzmusicarchives.com/artist/ramon-valle
ELS VANDEWEYER,Avant-Garde Jazz,Belgium,http://www.jazzmusicarchives.com/artist/els-vandeweyer
DOMINIQUE VANTOMME,Fusion,Belgium,http://www.jazzmusicarchives.com/artist/dominique-vantomme
RAY VEGA,Latin Jazz / Hard Bop,United States,http://www.jazzmusicarchives.com/artist/ray-vega
NIKI VÖRÖS,Vocal Jazz,Hungary,http://www.jazzmusicarchives.com/artist/niki-voros
COLIN TRIO VALLON,Post-Fusion Contemporary,Switzerland,http://www.jazzmusicarchives.com/artist/colin-vallon-trio
JOHN VENKIAH,Post Bop,United Kingdom,http://www.jazzmusicarchives.com/artist/john-venkiah
DENNIS VAN AARSSEN,Pop/Art Song/Folk,Netherlands,http://www.jazzmusicarchives.com/artist/dennis-van-aarssen
WARREN VACHÉ,Swing / Dixieland / Hard Bop / Post-Fusion Contemporary / Pop/Art Song/Folk / Big Band,United States,http://www.jazzmusicarchives.com/artist/warren-vache
HUGUES VINCENT,Jazz Related Improv/Composition,France,http://www.jazzmusicarchives.com/artist/hugues-vincent
VINCE DIESEL,Fusion,United States,http://www.jazzmusicarchives.com/artist/vince-diesel
THE VIOLA CRAYOLA,Jazz Related Rock,United States,http://www.jazzmusicarchives.com/artist/the-viola-crayola
JULIAN VAUGHN,RnB / Pop/Art Song/Folk / Hard Bop,United States,http://www.jazzmusicarchives.com/artist/julian-vaughn
VCDC,Avant-Garde Jazz,Norway,http://www.jazzmusicarchives.com/artist/vcdc
THE VERVE JAZZ ENSEMBLE,Hard Bop,United States,http://www.jazzmusicarchives.com/artist/the-verve-jazz-ensemble
SOKRATIS VOTSKOS,World Fusion,Greece,http://www.jazzmusicarchives.com/artist/sokratis-votskos
DAVE VALENTIN,Pop/Art Song/Folk / Latin Jazz / Post-Fusion Contemporary,United States,http://www.jazzmusicarchives.com/artist/dave-valentin
HAROLD (SIR EDWARD) VICK,Hard Bop / Soul Jazz / Cool Jazz,United States,http://www.jazzmusicarchives.com/artist/harold-vick-sir-edward
VIENNA ART ORCHESTRA,Progressive Big Band,Austria,http://www.jazzmusicarchives.com/artist/vienna-art-orchestra
EDDIE 'CLEANHEAD' VINSON,Jump Blues,United States,http://www.jazzmusicarchives.com/artist/eddie-cleanhead-vinson
PIERRE VAN DER LINDEN,Jazz Related Improv/Composition,Netherlands,http://www.jazzmusicarchives.com/artist/pierre-van-der-linden
KAREL VELEBNY,Avant-Garde Jazz / Post Bop / Latin Jazz / Jazz Related Soundtracks / Jazz Related Improv/Composition / Fusion / Big Band,Czech Republic,http://www.jazzmusicarchives.com/artist/karel-velebny
MADS VINDING,Post Bop / Vocal Jazz / Hard Bop / Fusion,Denmark,http://www.jazzmusicarchives.com/artist/mads-vinding
VOO DOO PHUNK,Jazz Related Electronica/Hip-Hop,Italy,http://www.jazzmusicarchives.com/artist/voo-doo-phunk
GARY VERSACE,Hard Bop / Post Bop,United States,http://www.jazzmusicarchives.com/artist/gary-versace
VARIABLE DENSITY SOUND ORCHESTRA,Avant-Garde Jazz,United States,http://www.jazzmusicarchives.com/artist/variable-density-sound-orchestra
VIS A VIS,African Fusion,Ghana,http://www.jazzmusicarchives.com/artist/vis-a-vis
DANIEL VALLANCIEN,Jazz Related Improv/Composition,France,http://www.jazzmusicarchives.com/artist/daniel-vallancien
THE VILLAGE CALLERS,Latin Rock/Soul,United States,http://www.jazzmusicarchives.com/artist/the-village-callers
PETER VAN HUFFEL,Avant-Garde Jazz / 21st Century Modern,Canada,http://www.jazzmusicarchives.com/artist/peter-van-huffel
YAGO VÁZQUEZ,Post Bop,Spain,http://www.jazzmusicarchives.com/artist/yago-vazquez
VILDE&INGA,Jazz Related Improv/Composition,Norway,http://www.jazzmusicarchives.com/artist/vildeandinga
CHRISTIAN ET LES TROIS JEFS VANDER,Jazz Related Rock,France,http://www.jazzmusicarchives.com/artist/christian-vander-et-les-trois-jefs
LÁZARO VALDÉS,Afro-Cuban Jazz,Cuba,http://www.jazzmusicarchives.com/artist/lazaro-valdes
"ORLANDO ""MARACA"" VALLE",Afro-Cuban Jazz,Cuba,http://www.jazzmusicarchives.com/artist/orlando-maraca-valle
ANDREW VOGT,Fusion / Funk Jazz,United States,http://www.jazzmusicarchives.com/artist/andrew-vogt
VAHAGNI (VAHAGNI TURGUTYAN),World Fusion,Armenia,http://www.jazzmusicarchives.com/artist/vahagni-vahagni-turgutyan
ANGELA VERBRUGGE,Vocal Jazz,Canada,http://www.jazzmusicarchives.com/artist/angela-verbrugge
VITAL TECH TONES,Fusion,United States,http://www.jazzmusicarchives.com/artist/vital-tech-tones
VERTICAL CURRENT,Fusion / RnB,United States,http://www.jazzmusicarchives.com/artist/vertical-current
ALLEN VIZZUTTI,Third Stream / Fusion,United States,http://www.jazzmusicarchives.com/artist/allen-vizzutti
JESSE VAN RULLER,Post Bop,Netherlands,http://www.jazzmusicarchives.com/artist/jesse-van-ruller
ALEXANDER VON SCHLIPPENBACH,Avant-Garde Jazz / Third Stream / Jazz Related Improv/Composition,Germany,http://www.jazzmusicarchives.com/artist/alexander-von-schlippenbach
MARTTI VESALA,Post Bop / Fusion,Finland,http://www.jazzmusicarchives.com/artist/martti-vesala
ART VAN DAMME,Cool Jazz / Pop/Art Song/Folk / Exotica / Vocal Jazz,United States,http://www.jazzmusicarchives.com/artist/art-van-damme
KIKI VALERA,Afro-Cuban Jazz,Cuba,http://www.jazzmusicarchives.com/artist/kiki-valera
MARCOS VALLE,Latin Jazz / RnB / Pop/Art Song/Folk / Latin Rock/Soul / Jazz Related Soundtracks,Brazil,http://www.jazzmusicarchives.com/artist/marcos-valle
VERMILION,Jazz Related Rock,Belgium,http://www.jazzmusicarchives.com/artist/vermilion
RICK VAN MATRE,Post Bop,United States,http://www.jazzmusicarchives.com/artist/rick-van-matre
BILLY BIG BAND JAZZ VERA,Pop/Art Song/Folk,United States,http://www.jazzmusicarchives.com/artist/billy-vera-big-band-jazz
VIRGO,Fusion,Germany,http://www.jazzmusicarchives.com/artist/virgo
EYAL VILNER,Big Band,Israel,http://www.jazzmusicarchives.com/artist/eyal-vilner
THILO VON WESTERNHAGEN,Jazz Related Rock,Germany,http://www.jazzmusicarchives.com/artist/thilo-von-westernhagen
TIMO VOLLBRECHT,Nu Jazz,Germany,http://www.jazzmusicarchives.com/artist/timo-vollbrecht
VOODOO DOGS,Acid Jazz,United States,http://www.jazzmusicarchives.com/artist/voodoo-dogs
MARCO VON ORELLI,Avant-Garde Jazz / Jazz Related Improv/Composition / 21st Century Modern,Switzerland,http://www.jazzmusicarchives.com/artist/marco-von-orelli
PAULINHO DA VIOLA,Latin Jazz,Brazil,http://www.jazzmusicarchives.com/artist/paulinho-da-viola
JOE VENUTI,Dixieland / Swing,United States,http://www.jazzmusicarchives.com/artist/joe-venuti
GREG VAIL,Pop/Art Song/Folk / Jazz Related Gospel,United States,http://www.jazzmusicarchives.com/artist/greg-vail
VULA VIEL,World Fusion,United Kingdom,http://www.jazzmusicarchives.com/artist/vula-viel
NANÁ VASCONCELOS,World Fusion / Jazz Related Soundtracks,Brazil,http://www.jazzmusicarchives.com/artist/nana-vasconcelos
ALEX VOSTRIKOV,Fusion,Russia,http://www.jazzmusicarchives.com/artist/alex-vostrikov
JAMES VINCENT,RnB / Jazz Related Improv/Composition,United States,http://www.jazzmusicarchives.com/artist/james-vincent
DIORIS VALLADARES,Afro-Cuban Jazz,Dominican Republic,http://www.jazzmusicarchives.com/artist/dioris-valladares
SACHAL VASANDANI,Vocal Jazz / Pop/Art Song/Folk,United States,http://www.jazzmusicarchives.com/artist/sachal-vasandani
ANETTE VON EICHEL,Vocal Jazz,Germany,http://www.jazzmusicarchives.com/artist/anette-von-eichel
ANDREAS VARADY,RnB / Fusion,Slovakia,http://www.jazzmusicarchives.com/artist/andreas-varady
GABRIEL VICÉNS,Fusion / Post-Fusion Contemporary,Puerto Rico,http://www.jazzmusicarchives.com/artist/gabriel-vicens
FAY VICTOR,Vocal Jazz / Avant-Garde Jazz / Jazz Related Improv/Composition,Trinidad And Tobago,http://www.jazzmusicarchives.com/artist/fay-victor
VOID PATROL (COLIN STETSON ELLIOTT SHARP BILLY MARTIN PAYTON MACDONALD),Jazz Related Improv/Composition,United States,http://www.jazzmusicarchives.com/artist/void-patrol-colin-stetson-elliott-sharp-billy-martin-payton-macdonald
THE VAMPIRES,World Fusion,Australia,http://www.jazzmusicarchives.com/artist/the-vampires(australia)
