artist,genre,country,url
ERI YAMAMOTO,Post-Fusion Contemporary / 21st Century Modern / Third Stream / Post Bop,Japan,http://www.jazzmusicarchives.com/artist/eri-yamamoto
YELLOWJACKETS,Fusion,United States,http://www.jazzmusicarchives.com/artist/yellowjackets
LESTER YOUNG,Swing / Big Band / Hard Bop,United States,http://www.jazzmusicarchives.com/artist/lester-young
YAMBU,Afro-Cuban Jazz,United States,http://www.jazzmusicarchives.com/artist/yambu
HRISTO YOTSOV,World Fusion,Bulgaria,http://www.jazzmusicarchives.com/artist/hristo-yotsov
YOUNG DISCIPLES,Acid Jazz,United Kingdom,http://www.jazzmusicarchives.com/artist/young-disciples
NOAH YOUNG,Fusion,(not set),http://www.jazzmusicarchives.com/artist/noah-young
STOMU YAMASHITA,Jazz Related Improv/Composition / Jazz Related Soundtracks / Fusion / Avant-Garde Jazz,Japan,http://www.jazzmusicarchives.com/artist/stomu-yamashita
MEGUMI YONEZAWA,Post Bop / Avant-Garde Jazz,Japan,http://www.jazzmusicarchives.com/artist/megumi-yonezawa
NORA YORK,Vocal Jazz / Pop/Art Song/Folk,United States,http://www.jazzmusicarchives.com/artist/nora-york
WEBSTER YOUNG,Cool Jazz,United States,http://www.jazzmusicarchives.com/artist/webster-young
JOSEPH YUN,Fusion,Korea,http://www.jazzmusicarchives.com/artist/joseph-yun
SAM YAHEL,Post Bop,United States,http://www.jazzmusicarchives.com/artist/sam-yahel
YEAGER. JASON,Post Bop / Third Stream / Latin Jazz,United States,http://www.jazzmusicarchives.com/artist/jason-yeager
YOSUKE 山下洋輔 YAMASHITA,Avant-Garde Jazz / Post Bop / Third Stream / Jazz Related Soundtracks / Jazz Related Improv/Composition / Progressive Big Band / Post-Fusion Contemporary / Latin Jazz / Jazz Related Electronica/Hip-Hop / 21st Century Modern,Japan,http://www.jazzmusicarchives.com/artist/yosuke-yamashita-山下洋輔
STOMU GO YAMASHTA'S,Fusion,Multi-National,http://www.jazzmusicarchives.com/artist/stomu-yamashtas-go
YÔKAÏ,Jazz Related Improv/Composition / Exotica,Belgium,http://www.jazzmusicarchives.com/artist/yokai
YUUKAI KENCHIKU,Jazz Related Rock / Pop/Art Song/Folk,Japan,http://www.jazzmusicarchives.com/artist/yuukai-kenchiku
GREG YASINITSKY,Jazz Education / Big Band,United States,http://www.jazzmusicarchives.com/artist/greg-yasinitsky
PATRICK YANDALL,RnB / Pop/Art Song/Folk / Blues / Post-Fusion Contemporary / Jazz Related Rock / Fusion,United States,http://www.jazzmusicarchives.com/artist/patrick-yandall
YOUNG PILGRIMS,Nu Jazz,United Kingdom,http://www.jazzmusicarchives.com/artist/young-pilgrims
ADRIAN YOUNGE,RnB / Jazz Related Soundtracks / Jazz Related Electronica/Hip-Hop,United States,http://www.jazzmusicarchives.com/artist/adrian-younge
DEBBY YEAGER,Vocal Jazz,United States,http://www.jazzmusicarchives.com/artist/debby-yeager
YTRE SULØENS JASS-ENSEMBLE,Dixieland / Original New Orleans Jazz / Vocal Jazz / Jazz Related Gospel / Blues,Norway,http://www.jazzmusicarchives.com/artist/ytre-suløens-jass-ensemble
ANDILE YENANA,Post Bop,South Africa,http://www.jazzmusicarchives.com/artist/andile-yenana
YETI RAIN,Nu Jazz,United States,http://www.jazzmusicarchives.com/artist/yeti-rain
YAKUBANÉ,World Fusion,Switzerland,http://www.jazzmusicarchives.com/artist/yakubane
HOZAN YAMAMOTO,Jazz Related Improv/Composition / Avant-Garde Jazz / World Fusion / Pop/Art Song/Folk / Jazz Related Soundtracks / Fusion,Japan,http://www.jazzmusicarchives.com/artist/hozan-yamamoto
JIMMY YANCEY,Boogie Woogie Piano,United States,http://www.jazzmusicarchives.com/artist/jimmy-yancey
YOG SOTHOTH,Eclectic Fusion,France,http://www.jazzmusicarchives.com/artist/yog-sothoth
NONOKO YOSHIDA,Avant-Garde Jazz,Japan,http://www.jazzmusicarchives.com/artist/nonoko-yoshida
CAMILLE YARBROUGH,RnB / Jazz Related Electronica/Hip-Hop,United States,http://www.jazzmusicarchives.com/artist/camille-yarbrough
YOUNGBLOOD BRASS BAND,Eclectic Fusion,United States,http://www.jazzmusicarchives.com/artist/youngblood-brass-band
DAVE YOUNG,Hard Bop,Canada,http://www.jazzmusicarchives.com/artist/dave-young
