artist,genre,country
0.720 ALEACION,Prog Folk,Mexico
0N0,Experimental/Post Metal,Slovakia
100 ONCES,Post Rock/Math rock,United States
10000 RUSSOS,Psychedelic/Space Rock,Portugal
1099,Post Rock/Math rock,Norway
10CC,Prog Related,United Kingdom
11 AS IN ADVERSARIES,Experimental/Post Metal,France
12 FOLLOWERS,Progressive Electronic,United States
12TWELVE,Post Rock/Math rock,Spain
14 BIS,Prog Related,Brazil
16 DEADLY IMPROVS,Eclectic Prog,United States
16-17,RIO/Avant-Prog,Switzerland
17 PYGMIES,Crossover Prog,United States
17F,Eclectic Prog,Switzerland
1870 (MIL OCHOCIENTOS SETENTA),RIO/Avant-Prog,Mexico
19 A.D.D.,Experimental/Post Metal,United States
L 919,RIO/Avant-Prog,Italy
1974,Crossover Prog,United States
1980,Tech/Extreme Prog Metal,France
1O1,Crossover Prog,United States
21 EYES OF RUBY,Experimental/Post Metal,Netherlands
21. PERON,Symphonic Prog,Turkey
2112,Heavy Prog,Argentina
22,Crossover Prog,Norway
25 YARD SCREAMER,Neo-Prog,United Kingdom
3,Crossover Prog,United States
3,Crossover Prog,United Kingdom
3 DAFT MONKEYS,Prog Folk,United Kingdom
3 LEAFS,Psychedelic/Space Rock,United States
3 LEGGED MONSTER,Crossover Prog,United States
3 MICE,RIO/Avant-Prog,Multi-National
3 PRIMATES,RIO/Avant-Prog,France
33.3,Post Rock/Math rock,United States
35 TAPES,Symphonic Prog,Norway
35007,Psychedelic/Space Rock,Netherlands
37°C,Jazz Rock/Fusion,Serbia
37500 YENS,Post Rock/Math rock,France
3ND,Post Rock/Math rock,Japan
TH RD AND THE MORTAL,Experimental/Post Metal,Norway
3RD EAR EXPERIENCE,Psychedelic/Space Rock,Multi-National
3RD WORLD ELECTRIC,Jazz Rock/Fusion,Multi-National
3RDEGREE,Crossover Prog,United States
4 FRONT,Jazz Rock/Fusion,United States
TH  LEVELS OF EXISTENCE,Psychedelic/Space Rock,Greece
4/3 DE TRIO,Eclectic Prog,France
413,Experimental/Post Metal,United States
417.3,Post Rock/Math rock,Russia
41POINT9,Heavy Prog,United States
4X,Heavy Prog,United Kingdom
500MG,Indo-Prog/Raga Rock,United States
52 COMMERCIAL ROAD,Post Rock/Math rock,United Kingdom
5BRIDGES,Symphonic Prog,Netherlands
5IVE,Experimental/Post Metal,United States
5R6,Progressive Metal,Ukraine
5TH SEASON,Crossover Prog,Finland
5UU'S,RIO/Avant-Prog,United States
6:33,Experimental/Post Metal,France
65DAYSOFSTATIC,Post Rock/Math rock,United Kingdom
6LA8,Progressive Electronic,Pakistan
7 FOR 4,Jazz Rock/Fusion,Germany
7 MONTHS,Progressive Metal,United States
7 OCEAN,Symphonic Prog,Belarus
7DAYS,Progressive Metal,Sweden
7TH KIND,Crossover Prog,United States
7TH NEMESIS,Tech/Extreme Prog Metal,France
8 DAYS IN APRIL,Eclectic Prog,Germany
801,Prog Related,United Kingdom
90 DAY MEN,Crossover Prog,United States
99 NAMES OF GOD,Heavy Prog,United States
