artist,genre,country
Ĺ,Krautrock,Italy
TH  BAND,RIO/Avant-Prog,United Kingdom
A FOOL'S ERRAND,Post Rock/Math rock,Netherlands
A LA PING PONG,Progressive Electronic,Germany
A PIEDI NUDI,Rock Progressivo Italiano,Italy
A((WAKE)),Experimental/Post Metal,United States
A-MUSIK,RIO/Avant-Prog,Japan
A-Z,Progressive Metal,Multi-National
A. ARMADA,Post Rock/Math rock,United States
A.C.T,Eclectic Prog,Sweden
A.I.(D),Tech/Extreme Prog Metal,France
A.L.F.,Crossover Prog,Brazil
A.P.A.T.T.,RIO/Avant-Prog,United Kingdom
A.R. & MACHINES,Krautrock,Germany
A.S.T.R.A,Rock Progressivo Italiano,Italy
A2RK,Crossover Prog,United Kingdom
AABSINTHE,Experimental/Post Metal,France
AALTO,Prog Folk,Finland
AAMUNKOITE,Symphonic Prog,Finland
AARDVARK,Crossover Prog,United Kingdom
AARDVARK',Crossover Prog,Finland
ANDREA ARFLOT,Jazz Rock/Fusion,Sweden
AARON LEBOS REALITY,Jazz Rock/Fusion,United States
EIVIN ARSET,Jazz Rock/Fusion,Norway
AAXSKFG,Progressive Metal,Italy
ABACAB,Neo-Prog,France
ABACUS,Crossover Prog,Germany
ABANDON,Experimental/Post Metal,Sweden
ABANDONED STARS,Progressive Metal,United Kingdom
ABARAX,Crossover Prog,Germany
ABASH,Heavy Prog,Italy
ABBFINOOSTY,Crossover Prog,United Kingdom
ABBHAMA,Symphonic Prog,Indonesia
ABEDUL,Prog Related,Spain
ABEL GANZ,Neo-Prog,United Kingdom
JOH BERCROMBIE,Jazz Rock/Fusion,United States
ABERRANT VASCULAR,Progressive Metal,Finland
ABIGAIL'S GHOST,Heavy Prog,United States
ABIGOR,Tech/Extreme Prog Metal,Austria
ABIOGENESI,Crossover Prog,Italy
ABISSI INFINITI,Rock Progressivo Italiano,Italy
ABLUTION,Jazz Rock/Fusion,Sweden
ABNORMAL THOUGHT PATTERNS,Tech/Extreme Prog Metal,United States
ABODEAN SKYE,Progressive Metal,United Kingdom
ABORYM,Tech/Extreme Prog Metal,Italy
RABI BOU-KHALIL,Prog Folk,Lebanon
ABOUT TESS,Post Rock/Math rock,Japan
ABOUT:BLANK,Heavy Prog,Italy
ABOVE SYMMETRY / EX ASPERA,Progressive Metal,Norway
LE BRAHAM,Crossover Prog,United Kingdom
ABRAXAS,Neo-Prog,Poland
ABRAXIS,Jazz Rock/Fusion,Belgium
ABRETE GANDUL,Eclectic Prog,Chile
ABSCHAUM,Krautrock,France
ABSENTE H,Crossover Prog,Spain
ABSENTHIA,Rock Progressivo Italiano,Italy
ABSINTHE JUNK,Crossover Prog,United States
ABSOLACE,Progressive Metal,United Arab Emirates
ABSOLUTE ELSEWHERE,Eclectic Prog,United Kingdom
ABSOLUTE ZERO,RIO/Avant-Prog,United States
ABSOLUUTTINEN NOLLAPISTE,Prog Related,Finland
ABSORBED,Tech/Extreme Prog Metal,Spain
ABSTRACCIÓN,Psychedelic/Space Rock,Spain
ABSTRACT TRUTH,Indo-Prog/Raga Rock,South Africa
ABSTRACTION LAYER,Symphonic Prog,Brazil
ABSTRAKT,Progressive Metal,Poland
ABSURDCUS,Eclectic Prog,Romania
ABUELO MIGUEL,Heavy Prog,Argentina
ABUNAI!,Psychedelic/Space Rock,United States
ABUS DANGEREUX,Jazz Rock/Fusion,France
ABYDOS,Progressive Metal,Germany
ABYSSE,Experimental/Post Metal,France
ACADEMIE OF FARSIDE,Eclectic Prog,Indonesia
ACANTHE,Crossover Prog,France
ACANTILADOS,Post Rock/Math rock,Argentina
ACAUSAL INTRUSION,Tech/Extreme Prog Metal,United States
ACCENT,Symphonic Prog,Romania
ACCEPT,Neo-Prog,Japan
ACCION ROCK BAND,Crossover Prog,Spain
ACCOLADE,Prog Folk,United States
ACCOLADE,Prog Folk,United Kingdom
ACCOMPLICE,Progressive Metal,United States
ACCORDO DEI CONTRARI,Jazz Rock/Fusion,Italy
ACHE,Symphonic Prog,Denmark
ACHING BEAUTY,Progressive Metal,France
ACHOKARLOS,Tech/Extreme Prog Metal,Spain
ACHTZEHN KARAT GOLD,Krautrock,Germany
ACI,Progressive Electronic,Germany
ACID DEATH,Tech/Extreme Prog Metal,Greece
ACID FLORIANI,Psychedelic/Space Rock,Russia
ACID MOTHERS TEMPLE,Psychedelic/Space Rock,Japan
ACID RAIN,Progressive Metal,Serbia
ACID RAIN,Progressive Metal,Argentina
ACID RAIN,Progressive Metal,Spain
ACID ROOSTER,Psychedelic/Space Rock,Germany
ACIDENTE,Prog Related,Brazil
ACINTYA,Eclectic Prog,France
ACOLYTE,Progressive Metal,Australia
ACOLYTE,Tech/Extreme Prog Metal,United Kingdom
ACQUA FRAGILE,Rock Progressivo Italiano,Italy
ACQUA LIBERA,Jazz Rock/Fusion,Italy
ACRIMÖNIA,Tech/Extreme Prog Metal,Poland
ACROSS THE SUN,Tech/Extreme Prog Metal,United States
ACROSS THE WAVES,Post Rock/Math rock,Iran
ACROSS TUNDRAS,Experimental/Post Metal,United States
ACT OF ENTROPY,Experimental/Post Metal,United Kingdom
ACTARUS,Post Rock/Math rock,Luxembourg
ACTION & TENSION & SPACE,Psychedelic/Space Rock,Norway
ACTIVE HEED,Crossover Prog,Italy
ACTIVITIES OF DUST,Post Rock/Math rock,United States
ACTUAL MUSIC QUARTET RSM,Post Rock/Math rock,Russia
ACUITY,Symphonic Prog,United States
ACUTE MIND,Progressive Metal,Poland
ACYL,Experimental/Post Metal,France
AD ASTRA,Symphonic Prog,United States
AD ASTRA,Progressive Metal,United States
AD INFINITUM,Neo-Prog,United States
AD MAIORA,Rock Progressivo Italiano,Italy
AD NAUSEAM,RIO/Avant-Prog,United Kingdom
AD NAUSEAM,Tech/Extreme Prog Metal,Italy
AD'ABSURDUM,Psychedelic/Space Rock,Switzerland
ADAGIO,Progressive Metal,France
ADARO,Prog Folk,Germany
ADDICTHEAD,Psychedelic/Space Rock,Switzerland
TH DDICTION DREAM,Crossover Prog,United States
ADDISON PROJECT,Jazz Rock/Fusion,Canada
ADEBISI SHANK,Post Rock/Math rock,Ireland
ADEIA,Tech/Extreme Prog Metal,Netherlands
TH DEKAEM,Neo-Prog,Poland
ADHARA,Progressive Metal,France
ADHARMA,Rock Progressivo Italiano,Italy
ADMIRAL BROWNING,Experimental/Post Metal,United States
ADN,Neo-Prog,France
ADRAMELCH,Progressive Metal,Italy
ADRIFT,Experimental/Post Metal,Spain
TH DVANCEMENT,Crossover Prog,United States
ADVENT,Eclectic Prog,United States
TH DVENT EQUATION,Tech/Extreme Prog Metal,Mexico
ADVENT HORIZON,Heavy Prog,United States
ADVENTURE,Symphonic Prog,Norway
AEBSENCE,Progressive Metal,Hungary
AELEMENTI,Rock Progressivo Italiano,Italy
AELIAN,Neo-Prog,Italy
AEOLIA,Tech/Extreme Prog Metal,United States
AEOLUS,Progressive Metal,Netherlands
AEON,Progressive Electronic,France
AEON OF HORUS,Tech/Extreme Prog Metal,Australia
AEON ZEN,Progressive Metal,United Kingdom
AEONS,Progressive Metal,United Kingdom
AERA,Jazz Rock/Fusion,Germany
AERIAL,Post Rock/Math rock,Sweden
AERODROM,Prog Related,Yugoslavia
AERODYNE FLEX,Tech/Extreme Prog Metal,United States
AESTHESYS,Post Rock/Math rock,Russia
AETERNAM,Tech/Extreme Prog Metal,Canada
AETHELLIS,Neo-Prog,United States
AETHENOR,Progressive Electronic,Multi-National
AETHER,Symphonic Prog,Brazil
AETHER,Post Rock/Math rock,Italy
AETHERIA CONSCIENTIA,Experimental/Post Metal,France
AETHERIUS,Progressive Metal,United States
