artist,genre,country
B F,Jazz Rock/Fusion,Estonia
B-RAIN,Rock Progressivo Italiano,Italy
BAALBEK,Jazz Rock/Fusion,Argentina
BABA YAGA,Krautrock,Germany
BABA YOGA,Eclectic Prog,Italy
BABADAG,Prog Folk,Poland
BABAL,Crossover Prog,United Kingdom
I ABAU & I MALEDETTI CRETINI,Rock Progressivo Italiano,Italy
BABE RUTH,Heavy Prog,United Kingdom
BABILS,Psychedelic/Space Rock,Belgium
BABLICON,RIO/Avant-Prog,United States
BABY GRANDMOTHERS,Psychedelic/Space Rock,Sweden
BABY WHALE,Prog Folk,Multi-National
BABYLON,Symphonic Prog,United States
BABYLON SAD,Tech/Extreme Prog Metal,Switzerland
BACAMARTE,Symphonic Prog,Brazil
SOPHY ACCINI,Rock Progressivo Italiano,Italy
BACHDENKEL,Psychedelic/Space Rock,United Kingdom
I ACIO DELLA MEDUSA,Rock Progressivo Italiano,Italy
BACK DOOR,Jazz Rock/Fusion,United Kingdom
BACK TO R'YLEH,Tech/Extreme Prog Metal,Spain
BACK WHEN,Experimental/Post Metal,United States
BACKHAND,Crossover Prog,Venezuela
BACKNEE HORN,Krautrock,Israel
BACKSTREET ROMEOS,Psychedelic/Space Rock,Germany
BACKWARD RUNNERS,Crossover Prog,Poland
BACKYARDS,Neo-Prog,France
BAD ALCHEMY,Eclectic Prog,United States
BAD DREAMS,Crossover Prog,Argentina
BAD SALAD,Progressive Metal,Brazil
BAD STATISTICS,Krautrock,New Zealand
BADDY BAND,Jazz Rock/Fusion,Bulgaria
TH ADGE,Rock Progressivo Italiano,Italy
BADGER,Heavy Prog,United Kingdom
VLADIMI ADIROV,Eclectic Prog,Uzbekistan
BADWATER FIRE COMPANY,Crossover Prog,United States
BAFFODORO,Post Rock/Math rock,Italy
BAG,Eclectic Prog,France
DAVI AGSBY,Eclectic Prog,United States
AGA AHARI,Progressive Metal,Iran
BAIKAL,Psychedelic/Space Rock,United States
JO AILEY,Crossover Prog,United Kingdom
DAV AINBRIDGE,Crossover Prog,United Kingdom
HARVE AINBRIDGE,Progressive Electronic,United Kingdom
KE AIRD,Crossover Prog,Canada
HERBERT F AIRY,Krautrock,Germany
BAK,Experimental/Post Metal,Australia
BAKER GURVITZ ARMY,Heavy Prog,United Kingdom
AIDA AKER,Progressive Electronic,Canada
GABRIE AKER,Post Rock/Math rock,United States
BAKERLOO,Proto-Prog,United Kingdom
BAKERY,Heavy Prog,Australia
BAKMAK,Jazz Rock/Fusion,Germany
BAKU,Crossover Prog,Germany
BAKU LLAMA,Eclectic Prog,United States
BALANCE OF POWER,Progressive Metal,United Kingdom
BALEIA,Crossover Prog,Brazil
FRANC ALESTRACCI,Eclectic Prog,France
SIMO ALESTRAZZI,Progressive Electronic,Italy
BALISET,Heavy Prog,United States
BALLETTIROSADIMACCHIA,Rock Progressivo Italiano,Italy
I ALLETTO DI BRONZO,Rock Progressivo Italiano,Italy
I ALLO DELLE CASTAGNE,Rock Progressivo Italiano,Italy
BALLOON,Heavy Prog,Netherlands
BALLOON ASTRONOMY,Neo-Prog,United States
BALMORHEA,Post Rock/Math rock,United States
TH ALMUNG,Rock Progressivo Italiano,Italy
BALOTHIZER,Experimental/Post Metal,Greece
TH ALTIC SEA,Post Rock/Math rock,United States
BALUNGAN,RIO/Avant-Prog,Various
ANDR ALZER,Crossover Prog,France
L AMBIBANDA E MELODIE,Rock Progressivo Italiano,Italy
(THE AMBIR,Prog Folk,Armenia
BANANA,Symphonic Prog,Argentina
BANCO DEL MUTUO SOCCORSO,Rock Progressivo Italiano,Italy
BAND OF RAIN,Psychedelic/Space Rock,United Kingdom
TH AND WHOSE NAME IS A SYMBOL,Psychedelic/Space Rock,Canada
BANDA BELZONI,Rock Progressivo Italiano,Italy
BANDA DO CASACO,Prog Folk,Portugal
BANDA DO SOL,Crossover Prog,Brazil
BANDA EL┴STICA,RIO/Avant-Prog,Mexico
BANDHADA,Jazz Rock/Fusion,Chile
BANDVIVIL,Jazz Rock/Fusion,Japan
BAFF ANFI,Progressive Electronic,Italy
BANGLADEAFY,Post Rock/Math rock,United States
BANGTOWER,Jazz Rock/Fusion,Multi-National
PETE ANKS,Jazz Rock/Fusion,United Kingdom
TON ANKS,Crossover Prog,United Kingdom
BANZAI,Symphonic Prog,Belgium
BARABBA,Rock Progressivo Italiano,Italy
BARAKA,Heavy Prog,Japan
MARI ARBAJA,Rock Progressivo Italiano,Italy
BARBARO,Eclectic Prog,Hungary
RICHAR ARBIERI,Progressive Electronic,United Kingdom
ARCA DO SOL,Prog Folk,Brazil
BARCELONA TRACTION,Jazz Rock/Fusion,Spain
BARCLAY JAMES HARVEST,Crossover Prog,United Kingdom
PETE ARDENS' MIRAGE,Jazz Rock/Fusion,United Kingdom
PETE ARDENS,Prog Related,United Kingdom
TH ARDIC DEPTHS,Crossover Prog,United Kingdom
BARDO POND,Psychedelic/Space Rock,United States
TH ARDS OF ANTIQUITY,Crossover Prog,United States
I ARICENTRO,Jazz Rock/Fusion,Italy
BARING TEETH,Tech/Extreme Prog Metal,United States
BARISHI,Tech/Extreme Prog Metal,United States
BARK PSYCHOSIS,Post Rock/Math rock,United Kingdom
NICKLA ARKER,Crossover Prog,Sweden
BARN OWL,Psychedelic/Space Rock,United States
ARRIG ARNAB╔,RIO/Avant-Prog,Brazil
BARNACLED,RIO/Avant-Prog,United States
BARNDOMSLANDET,Psychedelic/Space Rock,Sweden
