artist,genre,country
K'MONO,Neo-Prog,United States
K2,Neo-Prog,United States
KA.MMEN / EX SEVENTH EVIDENCE,Experimental/Post Metal,Ukraine
KAADA & PATTON,RIO/Avant-Prog,United States
OLIVE AAH,Experimental/Post Metal,Finland
KAAMOS,Prog Folk,Finland
KAARNA,Psychedelic/Space Rock,Finland
KAATAYRA,Experimental/Post Metal,Brazil
KADA,Jazz Rock/Fusion,Hungary
KADATH,Neo-Prog,Japan
KADDISFLY,Crossover Prog,United States
KADENZZA,Tech/Extreme Prog Metal,Japan
KADINJA,Tech/Extreme Prog Metal,France
KADWALADYR,Prog Folk,France
KAELLING,Progressive Metal,Portugal
KAILASH,Experimental/Post Metal,Italy
KAIPA,Symphonic Prog,Sweden
KAIPA DA CAPO,Symphonic Prog,Sweden
KAIRON; IRSE!,Post Rock/Math rock,Finland
KAIROS.,Tech/Extreme Prog Metal,United States
KAISER AND THE MACHINES OF CREATION,Progressive Metal,Australia
HENR AISER,RIO/Avant-Prog,United States
KAIZEN,Symphonic Prog,Brazil
KAKAOKAMKAMI,Post Rock/Math rock,Finland
KAKUSENJO NO ONGAKU (BASE OF FICTION),Zeuhl,Japan
KALA,Indo-Prog/Raga Rock,United Kingdom
KALABAN,Symphonic Prog,United States
KALACAKRA,Indo-Prog/Raga Rock,Germany
KALEIDON,Jazz Rock/Fusion,Italy
KALEIDOREAL,Heavy Prog,Sweden
KALEIDOSCOPE,Proto-Prog,United Kingdom
KALEIDOSKOP,Jazz Rock/Fusion,Germany
KALEIKR,Tech/Extreme Prog Metal,Iceland
KALEVALA,Prog Related,Finland
KALISANTROPE,Rock Progressivo Italiano,Italy
KALISIA,Tech/Extreme Prog Metal,France
KALKI AVATARA,Experimental/Post Metal,Italy
ARIE ALMA,Progressive Electronic,Australia
KALO,Symphonic Prog,Japan
KALON,Post Rock/Math rock,United States
KALOUV,Post Rock/Math rock,Brazil
KÄLTER,Tech/Extreme Prog Metal,Canada
ANTON ALUGIN,Symphonic Prog,Ukraine
KALUTALIKSUAK,Psychedelic/Space Rock,Russia
KAM-PAS-NEL-LA,RIO/Avant-Prog,Multi-National
KAMELOT,Progressive Metal,United States
TYLE AMEN,Psychedelic/Space Rock,United States
HOPP AMIYAMA,RIO/Avant-Prog,Japan
KAMMERFLIMMER KOLLEKTIEF,Post Rock/Math rock,Germany
KAMPAI,Neo-Prog,Germany
ERI AMPMAN,Prog Related,United States
KANAAN,Psychedelic/Space Rock,Norway
KANDAHAR,Jazz Rock/Fusion,Belgium
KANGURU,Indo-Prog/Raga Rock,Australia
KANOI,Krautrock,Austria
KANOO,Post Rock/Math rock,United Kingdom
KANSAS,Symphonic Prog,United States
KANT FREUD KAFKA,Crossover Prog,Spain
KANTE,Post Rock/Math rock,Germany
KANZEON,Psychedelic/Space Rock,Japan
KAOLL,Psychedelic/Space Rock,Brazil
KAOS MOON,Crossover Prog,Canada
KAOTHIC,Progressive Metal,Spain
KAPELA LA CHATELIER,RIO/Avant-Prog,Slovenia
KAPREKAR'S CONSTANT,Crossover Prog,United Kingdom
KAPUTTER HAMSTER,Krautrock,Germany
KARABA,Psychedelic/Space Rock,Germany
KARABOUDJAN,Experimental/Post Metal,Sweden
KARAKORUM,Psychedelic/Space Rock,Germany
KARCIUS,Jazz Rock/Fusion,Canada
KARDA ESTRA,Symphonic Prog,United Kingdom
KAREN COOPER COMPLEX,RIO/Avant-Prog,United States
KARENAUTAS,RIO/Avant-Prog,Argentina
KARFAGEN,Symphonic Prog,Ukraine
JÜRGE ARG,Progressive Electronic,Germany
KARI BAND,Jazz Rock/Fusion,Japan
KARIBOW,Crossover Prog,Germany
KARL HECTOR & THE MALCOUNS,Krautrock,Germany
KARMA,Progressive Metal,Brazil
KARMA CANON,Psychedelic/Space Rock,United States
KARMA DEPTH,Progressive Metal,Belgium
KARMABLUE,Eclectic Prog,Italy
KARMACIPHER,Tech/Extreme Prog Metal,China
KARMAKANIC,Symphonic Prog,Sweden
KARMAMOI,Heavy Prog,Italy
KARMANJAKAH,Progressive Metal,Sweden
KARMIC JUGGERNAUT,RIO/Avant-Prog,United States
KARMIC SOCIETY,Psychedelic/Space Rock,Germany
KARNAK,Tech/Extreme Prog Metal,Italy
KARNATAKA,Prog Folk,United Kingdom
KARNIVOOL,Heavy Prog,Australia
CHRI ARRER,Prog Folk,Germany
KARUNA KHYAL,Psychedelic/Space Rock,Japan
KASCHALOT,Post Rock/Math rock,Estonia
KASEKE,Jazz Rock/Fusion,Estonia
KASHGAR,Jazz Rock/Fusion,Canada
KASHMIR,Progressive Electronic,Switzerland
KASKADEUR,Eclectic Prog,Germany
KASSINI,Crossover Prog,United States
KASSIOPEIA,Crossover Prog,Germany
KATABASIS,Tech/Extreme Prog Metal,Australia
KATALENA,Prog Folk,Slovenia
KATATONIA,Progressive Metal,Sweden
KATAYA,Eclectic Prog,Finland
KATHAARIA,Tech/Extreme Prog Metal,Germany
KATHAARSYS,Tech/Extreme Prog Metal,Spain
KATRA TURANA,RIO/Avant-Prog,Japan
KATRE,Post Rock/Math rock,Turkey
BABI ATSIONIS,Progressive Metal,Greece
KATZEN KAPELL,RIO/Avant-Prog,Sweden
KAUAN,Experimental/Post Metal,Russia
A. J AUFMANN,Psychedelic/Space Rock,Poland
KAUHUKAKARA,RIO/Avant-Prog,Multi-National
KAUKASUS,Crossover Prog,Norway
KAULA SPANDA,Psychedelic/Space Rock,Russia
SENR AWAGUCHI,Jazz Rock/Fusion,Japan
KAWN,Progressive Metal,Morocco
KAYAK,Crossover Prog,Netherlands
KAYANIS,Crossover Prog,Poland
TON AYE,Neo-Prog,United Kingdom
KAYO DOT,RIO/Avant-Prog,United States
KAZACHSTÁN,Crossover Prog,Czech Republic
KBB,Jazz Rock/Fusion,Japan
KDB3,Symphonic Prog,United States
KEBNEKAJSE,Prog Folk,Sweden
KEDAMA,Crossover Prog,Switzerland
KEELHAUL,Experimental/Post Metal,United States
KEEP IT DEEP,Crossover Prog,Belgium
KEEP ROCKIN',Progressive Metal,Poland
KEHELL,Jazz Rock/Fusion,Japan
KEKAL,Experimental/Post Metal,Indonesia
KEL LOCH & GOLD,Crossover Prog,United States
TO ELLY,Crossover Prog,United States
KEMIALLISET YSTÄVÄT,Krautrock,Finland
ROS EMP,Psychedelic/Space Rock,United Kingdom
KEN'S NOVEL,Neo-Prog,Belgium
MIK ENEALLY,RIO/Avant-Prog,United States
KENNEDY,Jazz Rock/Fusion,Japan
KENSO,Jazz Rock/Fusion,Japan
TH ENTISH SPIRES,Canterbury Scene,United Kingdom
KEOR,Eclectic Prog,France
