artist,genre,country
P'COCK,Progressive Electronic,Germany
P'FAUN,Progressive Electronic,Germany
P. G. SIX,Prog Folk,United States
P.A.W.N.,Heavy Prog,Germany
P.O.N.,RIO/Avant-Prog,Japan
PAATOS,Crossover Prog,Sweden
PABLO EL ENTERRADOR,Symphonic Prog,Argentina
PABST,RIO/Avant-Prog,Germany
RAFAE ACHA,Prog Folk,Spain
PACIFIC SOUND,Krautrock,Switzerland
PACIFICO,Crossover Prog,Argentina
PADRE,Crossover Prog,Poland
PAEAN,Tech/Extreme Prog Metal,Estonia
I AESE DEI BALOCCHI,Rock Progressivo Italiano,Italy
PAGA (PAGA GROUP),Zeuhl,France
PAGAN HARVEST,Prog Folk,United Kingdom
PAGAN'S MIND,Progressive Metal,Norway
MAUR AGANI,Rock Progressivo Italiano,Italy
JIMMY AGE - ROBERT PLANT,Prog Related,United Kingdom
PAGEANT,Symphonic Prog,Japan
T AICHNIDIA TOU ILIOU,Psychedelic/Space Rock,Greece
PAIDARION,Crossover Prog,Finland
PAIENS,Jazz Rock/Fusion,Canada
PAIK,Post Rock/Math rock,United States
PAIKAPPU,Crossover Prog,Japan
PAIN OF SALVATION,Progressive Metal,Sweden
PAINKILLER,RIO/Avant-Prog,United States
PAINTED IN EXILE,Tech/Extreme Prog Metal,United States
MARCI AJAK,Neo-Prog,Poland
PAJARO,Eclectic Prog,Argentina
PAK,RIO/Avant-Prog,United States
PAKHUS 1,Jazz Rock/Fusion,Denmark
PALADIN,Progressive Electronic,United Kingdom
PALADIN,Crossover Prog,United Kingdom
PALCO NUMERO CINQUE,Crossover Prog,Italy
PALE ACUTE MOON,Symphonic Prog,Japan
PALE MANNEQUIN,Crossover Prog,Poland
PALEY'S WATCH,Eclectic Prog,United Kingdom
PÁLIDOS,Psychedelic/Space Rock,Portugal
PALINCKX,RIO/Avant-Prog,Netherlands
PALINDROME,Crossover Prog,Austria
PALLAS,Neo-Prog,United Kingdom
PALM,Post Rock/Math rock,United States
BRUC ALMER,Psychedelic/Space Rock,Canada
CAR ALMER,Crossover Prog,United Kingdom
PALPABLE DEFEAT,Progressive Metal,United States
PAN & REGALIZ,Proto-Prog,Spain
PAN-RA,Prog Folk,Germany
PAN.THY.MONIUM,Experimental/Post Metal,Sweden
PANABRITE,Progressive Electronic,United States
PANACEAH,Progressive Metal,Brazil
PANAMA RED,Jazz Rock/Fusion,Germany
PANCAKE,Krautrock,Germany
TH ANCAKES,Psychedelic/Space Rock,Germany
PANDA FIGHT CLUB,Rock Progressivo Italiano,Italy
PANDEA,Progressive Metal,Germany
PANDEMONIUM,Tech/Extreme Prog Metal,Sweden
PANDORA,Rock Progressivo Italiano,Italy
PANDORA,Symphonic Prog,Sweden
PANDORA 101,Progressive Metal,Brazil
PANDORA SNAIL,Eclectic Prog,Russia
PANDORAS.BOX,Neo-Prog,Germany
HE ANDORRA ENSEMBLE,Eclectic Prog,Netherlands
PANE,Rock Progressivo Italiano,Italy
PANEGYRIST,Tech/Extreme Prog Metal,United States
PANGAEA,Neo-Prog,United States
PANGEA,Rock Progressivo Italiano,Italy
PANGÉE,Eclectic Prog,Canada
PANIC ROOM,Crossover Prog,United Kingdom
PANICSMILE,RIO/Avant-Prog,Japan
PANKO,Krautrock,Germany
PANNA FREDDA,Rock Progressivo Italiano,Italy
PANOPTICON,Jazz Rock/Fusion,Belgium
PANOPTICON,Experimental/Post Metal,United States
MARI ANSERI,Rock Progressivo Italiano,Italy
PANTA REI,Psychedelic/Space Rock,Sweden
PANTA RHEI,Jazz Rock/Fusion,Germany
PANTA RHEI,Symphonic Prog,Hungary
PANTALEON,Progressive Metal,Germany
PANTHEON,Canterbury Scene,Netherlands
PANTHER & C.,Rock Progressivo Italiano,Italy
PANTHER ATTACK,Post Rock/Math rock,United States
PANTOKRAATOR,Neo-Prog,Estonia
PANTOMMIND,Progressive Metal,Bulgaria
STEFAN ANUNZI,Crossover Prog,Italy
PANZA,Crossover Prog,Argentina
PANZERBALLETT,Jazz Rock/Fusion,Germany
PANZERPAPPA,RIO/Avant-Prog,Norway
PAPANGU,Experimental/Post Metal,Brazil
PAPER MICE,RIO/Avant-Prog,United States
PAPIR,Psychedelic/Space Rock,Denmark
PARABSTRUSE,Post Rock/Math rock,United States
PARADIGM BLUE,Heavy Prog,United States
PARADIGM SHIFT,Progressive Metal,United Kingdom
PARADISE 9,Psychedelic/Space Rock,United Kingdom
PARADISO A BASSO PREZZO,Rock Progressivo Italiano,Italy
I ARADISO DEGLI ORCHI,Rock Progressivo Italiano,Italy
