artist,genre,country
R-11,Jazz Rock/Fusion,Italy
R-U KAISER,Symphonic Prog,Chile
RA CAN ROW,Psychedelic/Space Rock,United States
RA QUINTET,Jazz Rock/Fusion,United States
RABASKA,Prog Folk,Canada
RABBINICAL SCHOOL DROPOUTS,RIO/Avant-Prog,United States
RABBIT RABBIT (CARLA KIHLSTEDT & MATTHIAS BOSSI),Prog Folk,United States
TREVO ABIN,Crossover Prog,South Africa
RACCOMANDATA RICEVUTA RITORNO,Rock Progressivo Italiano,Italy
RACHEL'S BIRTHDAY,Eclectic Prog,Germany
RĹD KJETIL AND THE LOVING EYE OF GOD,Psychedelic/Space Rock,Sweden
RAD ORCHESTRA,Prog Folk,United Kingdom
RADA & TERNOVNIK (RADA & BLACKTHORN),Prog Folk,Russia
RADAR,Experimental/Post Metal,Finland
RADAR,Jazz Rock/Fusion,Estonia
RADAR MEN FROM THE MOON,Psychedelic/Space Rock,Netherlands
RADAVIQUE,Neo-Prog,Netherlands
RADIANT FREQUENCY,Crossover Prog,Norway
RADIATION,Progressive Electronic,Russia
RADIATION 4,Experimental/Post Metal,United States
RADIATION10,RIO/Avant-Prog,France
RADIO FREE ISAAC,Post Rock/Math rock,Croatia
RADIO MASSACRE INTERNATIONAL,Progressive Electronic,United Kingdom
RADIO PIECE III,Jazz Rock/Fusion,United States
RADIOHEAD,Crossover Prog,United Kingdom
RADIOMOBEL,Psychedelic/Space Rock,Sweden
RADIUS,Jazz Rock/Fusion,United Kingdom
RĆDSEL,Post Rock/Math rock,Germany
RAEL,Neo-Prog,Argentina
RAFART,Crossover Prog,Chile
RAG I RYGGEN,Heavy Prog,Sweden
RAGA BOP TRIO,Jazz Rock/Fusion,United States
RAGNAROK,Psychedelic/Space Rock,New Zealand
RAGNARÖK,Prog Folk,Sweden
MARC AGNI,Psychedelic/Space Rock,Italy
RAHMANN,Jazz Rock/Fusion,France
LUT AHN,Progressive Electronic,Germany
VASAN AI,Indo-Prog/Raga Rock,Multi-National
NI AICEVIC,Progressive Electronic,United States
