artist,genre,country
U I BLUE,Prog Folk,United States
U SCO,Psychedelic/Space Rock,United States
U TOTEM,RIO/Avant-Prog,United States
U-NI,Psychedelic/Space Rock,Japan
U.C.,Crossover Prog,Canada
U.S. MAPLE,RIO/Avant-Prog,United States
UARAL,Experimental/Post Metal,Chile
UBERBAND,RIO/Avant-Prog,United States
ÜBERFALL,Jazz Rock/Fusion,Switzerland
UBERMODO,Psychedelic/Space Rock,United Kingdom
UBI MAIOR,Rock Progressivo Italiano,Italy
UBOA,Experimental/Post Metal,Australia
UC PROJECT,Psychedelic/Space Rock,Poland
UCHIHASHI KAZUHISA & MANI NEUMEIER,Krautrock,Multi-National
UDDER MILK DECAY,Progressive Electronic,United Kingdom
UDRAYA,Prog Folk,France
UDUS,RIO/Avant-Prog,Italy
UEBERSCHAER,Neo-Prog,Germany
HIROM EHARA,Jazz Rock/Fusion,Japan
UFAJR,Post Rock/Math rock,Czech Republic
UFO ÖVER LAPPLAND,Psychedelic/Space Rock,Sweden
UFOMAMMUT,Experimental/Post Metal,Italy
MATTE GGERI,Progressive Electronic,Italy
UI,Post Rock/Math rock,United States
HA IL,Crossover Prog,Netherlands
UK,Eclectic Prog,United Kingdom
UKANDANZ,RIO/Avant-Prog,France
ULAN BATOR,Post Rock/Math rock,France
ULCERATE,Tech/Extreme Prog Metal,New Zealand
ULENSPIEGEL,Krautrock,Germany
ULLS,Psychedelic/Space Rock,Spain
JAMES BLOO LMER,Jazz Rock/Fusion,United States
ULSECT,Tech/Extreme Prog Metal,Netherlands
ULTIMA SPIAGGIA,Rock Progressivo Italiano,Italy
ULTIMATE SPINACH,Psychedelic/Space Rock,United States
ULTIME ATOME,Neo-Prog,France
ULTRA VIOLET RAYS,Neo-Prog,United States
ULTRA ZOOK,RIO/Avant-Prog,France
ULTRALYD,Krautrock,Norway
ULTRANOVA,Crossover Prog,Brazil
ULTRAPHAUNA,Eclectic Prog,Multi-National
ULTRAVIOLET DAYDREAM,Neo-Prog,United States
ULTRAVIOLET HIPPOPOTAMUS,Crossover Prog,United States
ULVER,Post Rock/Math rock,Norway
ULYSSES,Progressive Metal,Netherlands
UMĆ,Crossover Prog,Multi-National
UMBERTO,Progressive Electronic,United States
UMEZU KAZUTOKI KIKI BAND,Jazz Rock/Fusion,Japan
ÜMIT!,Psychedelic/Space Rock,Germany
UMLÄUT,Eclectic Prog,Australia
UMPFEL,Progressive Metal,Norway
UMPHREY'S MCGEE,Crossover Prog,United States
UNA CORDA,Experimental/Post Metal,United Kingdom
UNA VOLTA ERAVAMO IN SETTE,Rock Progressivo Italiano,Italy
UNAKA PRONG,Crossover Prog,United States
UNATTA,Progressive Electronic,United States
UNBELTIPO,RIO/Avant-Prog,Japan
UNBROKEN SPIRIT,Heavy Prog,United Kingdom
UNCLE DIRTYTOES,Prog Folk,United States
UNCOLORED WISHES,Progressive Metal,France
UNCONSCIOUS MOTIFS,Post Rock/Math rock,Italy
UNCROSSED,Tech/Extreme Prog Metal,Russia
UNDEFINED,Tech/Extreme Prog Metal,Spain
UNDEFY,Crossover Prog,Poland
UNDER BYEN,RIO/Avant-Prog,Denmark
UNDER LANGUID LIGHTS,Post Rock/Math rock,Germany
ÜNDER LINDEN,Symphonic Prog,Argentina
UNDER THE BIG TREE,Jazz Rock/Fusion,United States
UNDER THE SUN,Progressive Metal,United States
TH NDERGROUND RAILROAD,Eclectic Prog,United States
TH NDERGROUND SET,Heavy Prog,Italy
UNDERGROUND ZERO,Psychedelic/Space Rock,United Kingdom
UNDERTAKERS CIRCUS,Jazz Rock/Fusion,Norway
UNEVEN STRUCTURE,Tech/Extreme Prog Metal,France
UNEXPECT,Experimental/Post Metal,Canada
UNEXPECTED ALLIES,Progressive Metal,United States
UNGAVA,Prog Folk,Canada
UNHOLD,Experimental/Post Metal,Switzerland
UNI SONO,Jazz Rock/Fusion,Finland
UNICORN,Neo-Prog,Sweden
UNICORN PORN,Psychedelic/Space Rock,United States
JOHNN NICORN,Crossover Prog,United States
UNIFAUN,Symphonic Prog,Sweden
UNIFIED PAST,Progressive Metal,United States
UNIMOTHER 27,Psychedelic/Space Rock,Italy
UNISPHERE,Neo-Prog,Canada
UNIT WAIL,Zeuhl,France
UNITED BIBLE STUDIES,Prog Folk,Ireland
TH NITED JAZZ + ROCK ENSEMBLE,Jazz Rock/Fusion,Multi-National
