artist,genre,country
VACANTFIELD,Tech/Extreme Prog Metal,Greece
VĆRKET,Eclectic Prog,Denmark
VĆVER,Experimental/Post Metal,Denmark
VAGAR,Crossover Prog,Canada
VAGO SAGRADO,Psychedelic/Space Rock,Chile
STEV AI,Prog Related,United States
VAJRA,Crossover Prog,United States
VAK,Zeuhl,France
VAKA,Experimental/Post Metal,Sweden
VAKO,Progressive Electronic,Spain
VALBORG,Tech/Extreme Prog Metal,Germany
VALDEZ,Crossover Prog,United States
VALENCE,Progressive Metal,United States
VALÉNOR,Crossover Prog,United Kingdom
VALERIA GALLARDO TRIO,Progressive Metal,Chile
VALERINNE,Post Rock/Math rock,Romania
VALERMADA,Progressive Metal,Finland
VALHALLA,Heavy Prog,United States
VALINOR'S TREE,Heavy Prog,Sweden
VALIS ABLAZE,Progressive Metal,United Kingdom
VALLEY OF THE GIANTS,Post Rock/Math rock,Canada
VAMPILLIA,Post Rock/Math rock,Japan
VAMPIRES OF DARTMOORE,Krautrock,Germany
JAME AN CLEAF,Progressive Metal,United States
PASCA AN DEN DOOL,Crossover Prog,Netherlands
VAN DER GRAAF GENERATOR,Eclectic Prog,United Kingdom
VAN DIEMEN,Experimental/Post Metal,Australia
ANNEK AN GIERSBERGEN,Prog Related,Netherlands
VAN OTTERDYKE,Crossover Prog,Netherlands
LAURENC ANAY,Eclectic Prog,France
VANDEN PLAS,Progressive Metal,Germany
CHRISTIA ANDER,Zeuhl,France
JULIU ANDERBILT,Eclectic Prog,United Kingdom
VANDERSON,Progressive Electronic,Poland
JOE ANDROOGENBROECK,Progressive Electronic,Switzerland
TOOMA ANEM,Progressive Metal,Estonia
VANESSA VAN BASTEN,Experimental/Post Metal,Italy
VANETA,Crossover Prog,United States
VANGELIS,Prog Related,Greece
VANGOUGH,Progressive Metal,United States
VANILLA FUDGE,Proto-Prog,United States
VANISHED FROM EARTH,Crossover Prog,Argentina
VANISHING POINT,Progressive Metal,Australia
JEAN-CLAUD ANNIER,Eclectic Prog,France
VANTASMA,Neo-Prog,Indonesia
VANTOMME,Jazz Rock/Fusion,Belgium
VARAHA,Tech/Extreme Prog Metal,United States
MARIÁ ARGA,Symphonic Prog,Slovakia
VARGTON PROJEKT,Heavy Prog,Sweden
VARIOUS ARTISTS (CONCEPT ALBUMS & THEMED COMPILATIONS),Various Genres,Various
VARIOUS ARTISTS (LABEL SAMPLERS),Various Genres,Various
VARIOUS ARTISTS (TRIBUTES),Various Genres,Various
VAST CONDUIT,Neo-Prog,United States
VAULTS OF ZIN,Zeuhl,United States
VAURA,Experimental/Post Metal,United States
VAURUVĂ,Experimental/Post Metal,Brazil
VAUXDVIHL,Progressive Metal,Australia
VAZIMBA,Tech/Extreme Prog Metal,Madagascar
VAZYTOUILLE,Zeuhl,France
VECTEUR K,Crossover Prog,Canada
VED,Psychedelic/Space Rock,Sweden
VED BUENS ENDE,Experimental/Post Metal,Norway
VEDDA TRIBE,Rock Progressivo Italiano,Italy
VEDIOG SVAOR,Experimental/Post Metal,France
VEGA,Prog Folk,Spain
VEHEMENTER NOS,Tech/Extreme Prog Metal,France
VEIL OF CONSPIRACY,Progressive Metal,Italy
VEILBURNER,Tech/Extreme Prog Metal,United States
VEKTOR,Tech/Extreme Prog Metal,United States
VELJENI VALAS,Krautrock,Finland
VELNIAS,Experimental/Post Metal,United States
VELOCIRAPTURE,Progressive Metal,United States
VÉLOOO,Heavy Prog,France
VELUDO,Eclectic Prog,Brazil
VELVA ROOM,Crossover Prog,Mexico
VELVET OPERA (ELMER GANTRY'S),Psychedelic/Space Rock,United Kingdom
VEMM,Heavy Prog,Italy
VENEGONI & CO,Jazz Rock/Fusion,Italy
VENENUM,Tech/Extreme Prog Metal,Germany
VENI DOMINE,Progressive Metal,Sweden
VENTIFACTS,Eclectic Prog,United States
VENTURIA,Progressive Metal,France
VENUS IN FEAR,Progressive Metal,Israel
VENUS PRINCIPLE,Heavy Prog,United Kingdom
VENUS SYNDROME,Progressive Metal,Multi-National
VENUS TEBLA,Jazz Rock/Fusion,Italy
VERBAL DELIRIUM,Crossover Prog,Greece
WILL ERDAGUER,Jazz Rock/Fusion,Argentina
VERDE (MIKA RINTALA),Krautrock,Finland
VERDUN,Crossover Prog,United States
VERGANTI,Rock Progressivo Italiano,Italy
VERLIES,Experimental/Post Metal,France
VERMA,Psychedelic/Space Rock,United States
VERMICELLI ORCHESTRA,Prog Folk,Russia
VERMILION,Progressive Metal,Belgium
VERMILION SANDS,Symphonic Prog,Japan
VERSAILLES,Symphonic Prog,France
VERSUS X,Crossover Prog,Germany
VERT:X,Psychedelic/Space Rock,United Kingdom
VERTEBRA ATLANTIS,Tech/Extreme Prog Metal,Italy
VERTICAL ALIGNMENT,Symphonic Prog,United States
VERTO,RIO/Avant-Prog,France
VERTÚ,Jazz Rock/Fusion,United States
PIERR ERVLOESEM,RIO/Avant-Prog,Belgium
VESANIA,Symphonic Prog,Brazil
VESILINJA,Crossover Prog,Finland
VESPERO,Psychedelic/Space Rock,Russia
VESSELS,Post Rock/Math rock,United Kingdom
VESTAL,Neo-Prog,United States
VEZHLIVY OTKAZ,RIO/Avant-Prog,Russia
CLAIR EZINA,Crossover Prog,Canada
VIA LUMINI,Symphonic Prog,Brazil
VIA OBSCURA,Symphonic Prog,Germany
VIALKA,RIO/Avant-Prog,France
PATRIC IAN,Progressive Electronic,France
