artist,genre,country
YA HO WHA 13,Krautrock,United States
PH AAN-ZEK,Jazz Rock/Fusion,United Kingdom
YAAROTH,Heavy Prog,United States
TAK ABUKI,Jazz Rock/Fusion,Japan
YACOBS,Neo-Prog,Germany
GABRIE ACOUB,Prog Folk,France
YAK,Neo-Prog,United Kingdom
YAKUZA,Experimental/Post Metal,United States
YALDABAOTH,Tech/Extreme Prog Metal,United States
STOM AMASH'TA,Jazz Rock/Fusion,Japan
HIR ANAGIDA,Psychedelic/Space Rock,Japan
YANG,Heavy Prog,France
RYA ARD,Crossover Prog,United Kingdom
YATHA SIDHRA,Krautrock,Germany
YAVANNA,Prog Folk,Germany
YAVU,Experimental/Post Metal,Chile
YAWN,Experimental/Post Metal,Norway
YAWN HIC,Post Rock/Math rock,Russia
YAWNING SONS,Psychedelic/Space Rock,Multi-National
YAZYK DOZHDYA,Post Rock/Math rock,Russia
YAZZBOT MAZUT,Jazz Rock/Fusion,Poland
YBO˛,RIO/Avant-Prog,Japan
YEAR OF NO LIGHT,Experimental/Post Metal,France
YEAR ONE,Eclectic Prog,United States
YEARS OF RICE AND SALT,Post Rock/Math rock,United Kingdom
YEARSTONES,Heavy Prog,Norway
TH ELLOW BOX,Symphonic Prog,United States
YELLOW MAGIC ORCHESTRA,Progressive Electronic,Japan
THE ELLOW MOON BAND,Psychedelic/Space Rock,United Kingdom
YEN POX,Progressive Electronic,United States
TH EQY,Progressive Metal,Serbia
YES,Symphonic Prog,United Kingdom
YESTERDAYS,Symphonic Prog,Romania
YETI,RIO/Avant-Prog,United States
YETI RAIN,Progressive Electronic,United States
LE EUX DE LA TĘTE,RIO/Avant-Prog,France
YEZDA URFA,Eclectic Prog,United States
YGGDRASIL,Eclectic Prog,Faroe Islands
YGGDRASIL,Prog Folk,Germany
YGGDRAZIL,Heavy Prog,Italy
YIANNEIS,RIO/Avant-Prog,Greece
YLECLIPSE,Neo-Prog,Italy
YNDI HALDA,Post Rock/Math rock,United Kingdom
YOB,Experimental/Post Metal,United States
YOBREPUS,Crossover Prog,Norway
YOG SOTHOTH,RIO/Avant-Prog,France
YOJO,Jazz Rock/Fusion,Russia
YOKAI,Psychedelic/Space Rock,Belgium
YOKE SHIRE,Prog Folk,United States
YOLE,Eclectic Prog,France
YOLK,RIO/Avant-Prog,Switzerland
YOLK,RIO/Avant-Prog,France
YONHOSAGO,RIO/Avant-Prog,Chile
YONIN BAYASHI,Eclectic Prog,Japan
YOO DOO RIGHT,Krautrock,Canada
THO ORKE,Crossover Prog,United Kingdom
TATSUY OSHIDA,RIO/Avant-Prog,Japan
YOU,Progressive Electronic,Germany
YOU ALREADY KNOW,Post Rock/Math rock,United Kingdom
YOU AND I,Prog Folk,Hungary
YOU SLUT!,Post Rock/Math rock,United Kingdom
YOU.MAY.DIE.IN.THE.DESERT,Post Rock/Math rock,United States
LARR OUNG,Jazz Rock/Fusion,United States
MICHELL OUNG,Crossover Prog,United States
DAVI OUNGER,Neo-Prog,United Kingdom
YOUR ELECTRIC GRANDMOTHER,Crossover Prog,United States
YOUR TEN MOFO,Post Rock/Math rock,Austria
YOUTH PICTURES OF FLORENCE HENDERSON,Post Rock/Math rock,Norway
YOUTHMOVIES,Post Rock/Math rock,United Kingdom
YOWIE,RIO/Avant-Prog,United States
YSMA,Heavy Prog,Germany
YTO SOLREISER,Experimental/Post Metal,Norway
YUGEN,RIO/Avant-Prog,Italy
YUKA & CHRONOSHIP,Neo-Prog,Japan
YUKON TERRITORIAL EXPANSION,Psychedelic/Space Rock,United States
YUME BITSU,Psychedelic/Space Rock,United States
YUREI,Progressive Metal,Canada
YURI GAGARIN,Psychedelic/Space Rock,Sweden
YURT,Heavy Prog,Ireland
YUUKAI KENCHIKU,Jazz Rock/Fusion,Japan
YUVIGI,Progressive Metal,Bulgaria
FERNAND VOSKY,Crossover Prog,Venezuela
YWIS,Neo-Prog,Netherlands
YYNOT,Heavy Prog,United States
YYRKOON,Tech/Extreme Prog Metal,France
